locus,gene_weight,gene_name,gene_product,cog,regulator,Crp,GlpR,link
b3426,0.3977985747871992,glpD,aerobic glycerol 3-phosphate dehydrogenase,Energy production and conversion,"RpoD,ArcA,Crp,GlpR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10394
b2241,0.3707219122104896,glpA,anaerobic glycerol-3-phosphate dehydrogenase subunit A,Energy production and conversion,"RpoD,YihW,Fnr,Fis,FlhDC,ArcA,ppGpp,Crp,GlpR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10391
b3927,0.3475983071196165,glpF,glycerol facilitator,Carbohydrate transport and metabolism,"RpoD,Crp,GlpR,spf",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10396
b3926,0.3393123743162979,glpK,glycerol kinase,Nucleotide transport and metabolism,"RpoD,Crp,GlpR,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10398
b2242,0.334864361008934,glpB,anaerobic glycerol-3-phosphate dehydrogenase subunit B,Energy production and conversion,"RpoD,Fnr,Fis,FlhDC,ArcA,Crp,GlpR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10392
b2243,0.3035633418452469,glpC,anaerobic glycerol-3-phosphate dehydrogenase subunit C,Energy production and conversion,"RpoD,Fnr,Fis,FlhDC,ArcA,Crp,GlpR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10393
b2240,0.2998054597183116,glpT,sn-glycerol 3-phosphate:phosphate antiporter,Inorganic ion transport and metabolism,"RpoD,Fnr,Fis,Crp,IHF,GlpR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10401
b2239,0.193125345628795,glpQ,glycerophosphoryl diester phosphodiesterase,Energy production and conversion,"RpoD,RpoN,Fnr,Fis,Crp,IHF,GlpR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10399
b3925,0.1199685682036277,glpX,fructose-1%2C6-bisphosphatase 2,Carbohydrate transport and metabolism,"RpoD,Crp,GlpR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11517
b1200,0.0492113114530186,dhaK,dihydroxyacetone kinase subunit K,Carbohydrate transport and metabolism,"YdcN,YhjB,YgfI,YdhB,YgaV,YeaM,RpoS,DhaR,Lrp,Nac",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6627
b1199,0.0489337864889115,dhaL,dihydroxyacetone kinase subunit L,Function unknown,"RpoS,DhaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6626
