locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GadX,GadE,GadW,link
b3512,0.3711979016,gadE,DNA-binding transcriptional activator GadE,Transcription,gadEF-mdtEF,"PhoP,RpoD,RpoS,GadW,YdeO,Crp,ArcA,EvgA,H-NS,GadX,FliZ,GadE,Nac,ppGpp,ArrS",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11544
b3509,0.33191226690000003,hdeB,periplasmic acid stress chaperone,Cell wall/membrane/envelope biogenesis,hdeAB-yhiD,"RcsB,RpoD,TorR,gcvB,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11399
b3517,0.3062286571,gadA,glutamate decarboxylase A,Amino acid transport and metabolism,gadAXW,"RpoD,TorR,RpoS,Fis,Crp,ArcA,Fnr,AdiY,RcsB,H-NS,GadW,GadX,GadE-RcsB,ppGpp",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG50009
b1493,0.3037965763,gadB,glutamate decarboxylase B,Amino acid transport and metabolism,gadBC,"RcsB,RpoD,oxyS,RpoS,Fis,Crp,AdiY,GadX,GadW,FliZ,GadE,Lrp,ppGpp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11490
b3511,0.2927888758,hdeD,acid-resistance membrane protein,Function unknown,hdeD,"RcsB,RpoD,RpoS,PhoP,GadX,H-NS,GadE,ppGpp,cyaR,rprA",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11495
b3510,0.2871751979,hdeA,HdeA monomer%2C chaperone active form,Cell wall/membrane/envelope biogenesis,hdeAB-yhiD,"RcsB,RpoD,oxyS,TorR,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11398
b3508,0.2811932445,yhiD,inner membrane protein YhiD,Function unknown,hdeAB-yhiD,"RpoD,RcsB,TorR,RpoS,Lrp,MarA,PhoP,GadX,GadW,H-NS,FliZ,GadE,ppGpp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11400
b1492,0.2752282835,gadC,L-glutamate:4-aminobutyrate antiporter,Amino acid transport and metabolism,gadBC,"RcsB,RpoD,RpoS,Fis,Crp,AdiY,GadX,GadW,FliZ,GadE,ppGpp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6786
b3491,0.16765656140000001,yhiM,inner membrane protein with a role in acid resistance,Function unknown,yhiM,"oxyS,RpoS,GadE,H-NS,GadE-RcsB,Lrp",False,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12228
b3506,0.0807964389,slp,starvation lipoprotein,Cell wall/membrane/envelope biogenesis,slp-dctR,"RpoD,gcvB,MarA,GadW,YdeO,ppGpp,GadX,H-NS,GadE-RcsB",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11890
b4187,0.07649938170000001,aidB,putative acyl-CoA dehydrogenase AidB,Lipid transport and metabolism,aidB,"RpoD,YidZ,RpoS,Ada,AidB,ppGpp,Lrp",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11811
b3513,0.0747019157,mdtE,multidrug efflux pump membrane fusion protein MdtE,Cell wall/membrane/envelope biogenesis,gadEF-mdtEF,"RpoD,RpoS,GadW,GadX,Crp,YdeO,EvgA,H-NS,FliZ,GadE,Nac,ppGpp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12240
b3507,0.061617679800000005,dctR,putative DNA-binding transcriptional regulator DctR,Transcription,slp-dctR,"RpoD,MarA,GadW,YdeO,H-NS,GadX,GadE-RcsB,GlaR",True,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11889
b3514,0.052828657800000005,mdtF,multidrug efflux pump RND permease MdtF,Defense mechanisms,gadEF-mdtEF,"RpoD,YidZ,YeiE,RpoS,GadW,GadX,Crp,YdeO,EvgA,H-NS,FliZ,GadE,ppGpp",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12241
b4377,0.0495773299,yjjU,putative patatin-like phospholipase YjjU,Function unknown,yjjUV,ppGpp,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7951
b0485,0.0490756174,glsA,glutaminase 1,Amino acid transport and metabolism,glsA-ybaT,"RpoS,GadX,ppGpp",True,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6261
b3515,-0.0577513941,gadW,DNA-binding transcriptional dual regulator GadW,Transcription,gadAXW,"PhoB,YcfQ,SdiA,RpoS,GadX,GadW,Fnr,YdeO,ppGpp,PhoP,RutR,H-NS,GadE,Lrp,GlaR,gadY",True,True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12242
