locus,gene_weight,gene_name,gene_product,cog,operon,regulator,BasR,link
b2252,0.33997729990000003,ais,putative lipopolysaccharide core heptose(II)-phosphate phosphatase,Cell wall/membrane/envelope biogenesis,ais,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7165
b2253,0.272451233,arnB,UDP-4-amino-4-deoxy-L-arabinose aminotransferase,Cell wall/membrane/envelope biogenesis,arnBCADTEF,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7166
b2254,0.2630776579,arnC,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,Lipid transport and metabolism,arnBCADTEF,"YbiH,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7167
b3615,0.24217658350000001,waaH,UDP-glucuronate:LPS(HepIII) glycosyltransferase,Function unknown,waaH,"RpoD,PhoB,NsrR,ppGpp,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11266
b2255,0.2204756787,arnA,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,Lipid transport and metabolism,arnBCADTEF,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7168
b2256,0.20614503,arnD,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,Carbohydrate transport and metabolism,arnBCADTEF,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7169
b4114,0.2025068714,eptA,phosphoethanolamine transferase EptA,Function unknown,eptA,"Nac,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11613
b1800,0.182276023,dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),Energy production and conversion,dmlA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6986
b1974,0.12082787860000001,yodB,putative cytochrome,Energy production and conversion,yodB,"YeiE,ppGpp,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7062
b2257,0.11867374200000001,arnT,lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase,Lipid transport and metabolism,arnBCADTEF,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7170
b2028,0.0983605932,ugd,UDP-glucose 6-dehydrogenase,Cell wall/membrane/envelope biogenesis,ugd,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7091
b4544,0.0954999087,arnE,undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit,Inorganic ion transport and metabolism,arnBCADTEF,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10460
b3469,0.07728887050000001,zntA,Zn(2(+))/Cd(2(+))/Pb(2(+)) exporting P-type ATPase,Inorganic ion transport and metabolism,zntA,"RpoD,ZntR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12215
b3955,0.07654147680000001,eptC,phosphoethanolamine transferase EptC,Function unknown,eptC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11914
b0694,-0.0812250434,kdpE,DNA-binding transcriptional activator KdpE,Transcription,kdpDE,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10517
b3207,-0.1913388242,yrbL,protein kinase-like domain-containing protein YrbL,Transcription,yrbL,"YcjW,SoxR,SoxS,BasR,PhoP",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7667
