locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,k-opioid,link
PA1216,0.24834587500000002,PA1216,,hypothetical protein,Function unknown,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1216&e1=1&assembly=complete
PA1213,0.21461822200000003,PA1213,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1213&e1=1&assembly=complete
PA1215,0.213084441,PA1215,,hypothetical protein,Lipid transport and metabolism,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1215&e1=1&assembly=complete
PA1218,0.19883171300000002,PA1218,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1218&e1=1&assembly=complete
PA1221,0.198629035,PA1221,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1221&e1=1&assembly=complete
PA1217,0.186783583,PA1217,,2-isopropylmalate synthase,Amino acid transport and metabolism,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1217&e1=1&assembly=complete
PA1214,0.183036483,PA1214,,hypothetical protein,Amino acid transport and metabolism,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1214&e1=1&assembly=complete
PA1220,0.18046099999999998,PA1220,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1220&e1=1&assembly=complete
PA1212,0.175930518,PA1212,,major facilitator superfamily transporter,Carbohydrate transport and metabolism,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1212&e1=1&assembly=complete
PA1219,0.167934364,PA1219,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1219&e1=1&assembly=complete
PA1211,0.152514425,PA1211,,hypothetical protein,Function unknown,k-opioid,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1211&e1=1&assembly=complete
