locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,Zur,Cobalamin,link
PA4837,0.203868807,PA4837,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4837&e1=1&assembly=complete
PA4836,0.195870269,PA4836,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4836&e1=1&assembly=complete
PA4063,0.150005296,PA4063,,hypothetical protein,Inorganic ion transport and metabolism,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4063&e1=1&assembly=complete
PA4835,0.14707008200000002,PA4835,,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4835&e1=1&assembly=complete
PA4834,0.12761850600000002,PA4834,,hypothetical protein,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4834&e1=1&assembly=complete
PA4838,0.098342286,PA4838,,hypothetical protein,Function unknown,Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4838&e1=1&assembly=complete
PA3601,0.08352329900000001,PA3601,,50S ribosomal protein L31 type B,"Translation, ribosomal structure and biogenesis",Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3601&e1=1&assembly=complete
PA3600,0.070982242,PA3600,,50S ribosomal protein L36,"Translation, ribosomal structure and biogenesis",Zur,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3600&e1=1&assembly=complete
PA1920,-0.077739004,nrdD,,anaerobic ribonucleoside triphosphate reductase,Nucleotide transport and metabolism,NrdR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1920&e1=1&assembly=complete
PA1922,-0.095227001,PA1922,,TonB-dependent receptor,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1922&e1=1&assembly=complete
PA1923,-0.109747382,PA1923,,cobaltochelatase subunit CobN,Coenzyme transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1923&e1=1&assembly=complete
PA1919,-0.112908431,nrdG,,class III (anaerobic) ribonucleoside-triphosphate reductase activating protein NrdG,"Post-translational modification, protein turnover,and chaperones",NrdR,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1919&e1=1&assembly=complete
PA2914,-0.11663558800000001,PA2914,,ABC transporter permease,Inorganic ion transport and metabolism,Cobalamin,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2914&e1=1&assembly=complete
PA1924,-0.11957835300000001,PA1924,,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1924&e1=1&assembly=complete
PA1921,-0.12813095100000002,PA1921,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1921&e1=1&assembly=complete
PA2913,-0.139312095,PA2913,,hypothetical protein,Inorganic ion transport and metabolism,Cobalamin,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2913&e1=1&assembly=complete
PA2911,-0.15169335,PA2911,,TonB-dependent receptor,Inorganic ion transport and metabolism,Cobalamin,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2911&e1=1&assembly=complete
PA2912,-0.174450713,PA2912,,ABC transporter ATP-binding protein,Coenzyme transport and metabolism,Cobalamin,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2912&e1=1&assembly=complete
