locus,gene_weight,gene_name,gene_product,COG,operon,regulator,SigD,link
BSU13690,0.11278290699999999,motA,flagellar stator subunit,Cell motility,motA->motB,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13690
BSU31240,0.106160961,mcpA,methyl-accepting chemotaxis protein,Cell motility,tlpA->mcpA,"SigD,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31240
BSU13680,0.10598850300000001,motB,flagellar stator subunit,Cell motility,motA->motB,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13680
BSU35860,0.10474577300000001,pgdS,gamma-DL-glutamyl hydrolase,No COG category,pgdS,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35860
BSU07360,0.103198006,yfmS,soluble chemotaxis receptor,Cell motility,yfmT->yfmS,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU07360
BSU38400,0.102963488,epr,minor extracellular serine protease,No COG category,epr,"Spo0A,SinR,SigD,DegU,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38400
BSU13950,0.09866076900000001,mcpC,methyl-accepting chemotaxis protein,Cell motility,mcpC,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13950
BSU07350,0.098547465,yfmT,vanillin dehydrogenase,Energy production and conversion,yfmT->yfmS,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU07350
new_3622139_3622219_c,0.09718197199999999,S1346,5'UTR of swrAA/2,No COG category,,"SigA,SigD,DegU",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3622139_3622219_c
BSU35350,0.094831466,yvyC,unknown,No COG category,"yvyC->hpf, yvyC->fliT",SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35350
BSU35330,0.09419651,fliS,chaperone for [[protein|E0BB77C8F1220E931D16A1FA6B75AE8907C76FDB|flagellin]] export,No COG category,"yvyC->hpf, yvyC->fliT",SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35330
BSU12120,0.093438744,yjfB,unknown,Function unknown,yjfB,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU12120
new_3635902_3636010_c,0.09329206599999999,S1352,5'UTR of hag,No COG category,,"SigD,CodY,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3635902_3636010_c
BSU35340,0.092223924,fliD,extracytoplasmic chaperone required for polymerization of [[protein|E0BB77C8F1220E931D16A1FA6B75AE8907C76FDB|flagellin]],No COG category,"yvyC->hpf, yvyC->fliT",SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35340
BSU35360,0.092117923,hag,flagellin protein,No COG category,hag,"SigD,CodY,ScoC",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35360
BSU35320,0.09187264699999999,fliT,chaperone for [[protein|C6012DEA301DF5B2DDD7E673A736BD3E5163F209]] export,No COG category,"yvyC->hpf, yvyC->fliT",SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35320
BSU09370,0.089260567,lytF,gamma-D-glutamate-meso-diaminopimelate muropeptidase (major autolysin),Cell wall/membrane/envelope biogenesis,lytF,"SinR,SigD,SlrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU09370
BSU38850,0.08789828699999999,yxkC,unknown,No COG category,yxkC,"SigD,TnrA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38850
BSU35319,0.08710190699999999,smiA,adaptor protein for [[protein|FF15BE26BCC78EC1301C58A51AF0A519D7BE9ADC]]-mediated degradation of [[protein|5D479874B43F521DB52EDC2C27CDE4967F22DE47]],No COG category,yvyC->hpf,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU35319
BSU15960,0.087070345,sivC,inhibitor of entry into sporulation,No COG category,sivC,"SigD,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU15960
BSU14010,0.084235735,cheV,CheA modulator,Signal transduction,cheV,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU14010
BSU31260,0.083556395,mcpB,methyl-accepting chemotaxis protein,Cell motility,mcpB,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU31260
BSU28890,0.082123532,yscB,unknown,No COG category,yscB,"SigD,AbrB",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU28890
new_2773764_2773889,0.081845005,rnaC,"small RNA, controls AbrB expression",No COG category,rnaC,SigD,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_2773764_2773889
