locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Fnr,link
b3060,0.1457057004,ttdR,DNA-binding transcriptional activator Dan,Transcription,ttdR,"TtdR,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12694
b0621,0.1378642135,dcuC,anaerobic C4-dicarboxylate transporter DcuC,Inorganic ion transport and metabolism,dcuC,"YeiE,Fnr,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6347
b0872,0.1271430952,hcr,NADH oxidoreductase,Energy production and conversion,hcp-hcr-poxB-ltaE-ybjT,"RpoE,NarP,NsrR,OxyR,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6456
b1674,0.1213418871,ydhY,putative 4Fe-4S ferredoxin-type protein,Energy production and conversion,ydhYVWXUT,"RpoS,NarL,NarP,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6902
b0375,0.1188087709,iprA,putative DNA-binding transcriptional regulator IprA,Transcription,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6226
b3573,0.1166398441,ysaA,putative electron transport protein YsaA,Energy production and conversion,ysaA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12277
b4756,0.11588431190000001,yqiD,protein YqiD,Function unknown,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16750
b2726,0.11452548480000001,hypA,hydrogenase 3 nickel incorporation protein HypA,Function unknown,hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10483
b4409,0.1139016198,blr,beta-lactam resistance protein,No COG annotation,blr,RpoS,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-9561
b3408,0.1124933843,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,feoABC,"RpoD,Fnr,NagC,Fur,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12101
b2727,0.11107658200000001,hypB,hydrogenase isoenzymes nickel incorporation protein HypB,Transcription,hypABCDE-fhlA,"RpoN,NsrR,IHF,FhlA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10484
b0715,0.1103695123,abrB,putative regulator,Function unknown,abrB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6384
b0919,0.1072185229,ycbJ,putative phosphotransferase YcbJ,Function unknown,ycbJ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6473
b0837,0.10698916210000001,yliI,aldose sugar dehydrogenase YliI,Carbohydrate transport and metabolism,yliI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6437
b3945,0.10677910530000001,gldA,L-1%2C2-propanediol dehydrogenase/glycerol dehydrogenase,Energy production and conversion,ptsA-fsaB-gldA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11904
b2298,0.10477213710000001,yfcC,putative transporter YfcC,Function unknown,yfcC,"YeiE,ppGpp,ArgR,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7190
b0873,0.1011822738,hcp,protein S-nitrosylase,Energy production and conversion,hcp-hcr-poxB-ltaE-ybjT,"RpoE,NarP,NsrR,OxyR,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6457
b2966,0.0970753271,yqgA,DUF554 domain-containing protein YqgA,Function unknown,yqgA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7534
b2292,0.0909546771,yfbS,putative transporter YfbS,Inorganic ion transport and metabolism,yfbS,YcjW,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7186
b4139,0.0886754208,aspA,aspartate ammonia-lyase,Amino acid transport and metabolism,aspA-dcuA,"RpoD,Fnr,Crp,NarL,DcuR,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10095
b4380,0.0878868448,yjjI,DUF3029 domain-containing protein YjjI,Nucleotide transport and metabolism,yjjI,YciT,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12171
b0007,0.08671472250000001,yaaJ,putative transporter YaaJ,Amino acid transport and metabolism,yaaJ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11555
