locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CymR,link
BSU_39490,0.2658784202051055,yxeN,putative ABC transporter (permease),Inorganic ion transport and metabolism,Op3045,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39490
BSU_39500,0.2634501811003158,yxeM,putative ABC transporter (binding lipoprotein),Cell wall/membrane/envelope biogenesis,Op3045,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39500
BSU_39510,0.2617257399567607,snaB,sulfur-containing aminoacid acetyltransferase,Transcription,Op3045,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39510
BSU_39480,0.2615307163337913,yxeO,putative ABC transporter (ATP-binding protein),Inorganic ion transport and metabolism,Op3045,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39480
BSU_39520,0.2546151556079477,yxeK,putative monooxygenase,Energy production and conversion,Op3045,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39520
BSU_39470,0.2459689618198861,sndB,N-acetyl-sulfur-metabolite deacetylase,Amino acid transport and metabolism,Op3045,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39470
BSU_39460,0.2166222141054731,yxeQ,putative catabolic enzyme,Function unknown,Op3045,"SigA,CymR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_39460
BSU_09130,0.191998043329742,tcyP,(sodium)-cystine symporter,"Intracellular trafficking, secretion, and vesicular transport",Op704,CymR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_09130
BSU_15590,0.18185749957236486,sat,sulfate adenylyltransferase,Inorganic ion transport and metabolism,Op1206,"SigA,CymR,S-box",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_15590
BSU_15600,0.17808455946520493,cysC,adenylylsulfate kinase,Inorganic ion transport and metabolism,Op1206,"SigA,CymR,S-box",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_15600
BSU_07190,0.1727825893746523,yezD,conserved hypothetical protein,Function unknown,Op577,CymR,True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_07190
