locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,PA1226,link
PA0716,0.159567339,xisF4,,hypothetical protein,Defense mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0716&e1=1&assembly=complete
PA0715,0.145684861,PA0715,,hypothetical protein,"Replication, recombination and repair",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0715&e1=1&assembly=complete
PA2227,0.140431797,vqsM,,HTH-type transcriptional regulator VqsM,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2227&e1=1&assembly=complete
PA3154,0.140191524,wzy,,B-band O-antigen polymerase,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3154&e1=1&assembly=complete
PA2461,0.13950147200000002,PA2461,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2461&e1=1&assembly=complete
PA1371,0.139174557,PA1371,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1371&e1=1&assembly=complete
PA2459,0.132281538,PA2459,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2459&e1=1&assembly=complete
PA0981,0.12794013,PA0981,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0981&e1=1&assembly=complete
PA3149,0.127799923,wbpH,,glycosyltransferase WbpH,Cell wall/membrane/envelope biogenesis,PA1226,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3149&e1=1&assembly=complete
PA3150,0.125518465,wbpG,,LPS biosynthesis protein WbpG,"Cell cycle control, cell division, chromosome partitioning",PA1226,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3150&e1=1&assembly=complete
PA2037,0.12128308600000001,PA2037,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2037&e1=1&assembly=complete
PA2226,0.11945180100000001,PA2226,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2226&e1=1&assembly=complete
