locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FlhDC,link
b1073,0.2600962389,flgB,flagellar basal-body rod protein FlgB,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G358
b1074,0.24419699450000001,flgC,flagellar basal-body rod protein FlgC,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G359
b1922,0.23152096660000002,fliA,RNA polymerase%2C sigma 28 (sigma F) factor,Transcription,fliAZ-tcyJ,"RpoD,YdcN,FliA,H-NS,IHF,NsrR,EcpR,FlhDC,SutR,CsgD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11355
b1075,0.1921806805,flgD,flagellar biosynthesis%2C initiation of hook assembly,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G360
b1076,0.1545272661,flgE,flagellar hook protein FlgE,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G361
b1077,0.10081590200000001,flgF,flagellar basal-body rod protein FlgF,Cell motility,flgBCDEFGHIJ,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G362
b1886,0.096685302,tar,methyl-accepting chemotaxis protein Tar,Cell motility,tar-tap-cheRBYZ,"FliA,Fnr,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10988
b1923,0.0836652405,fliC,flagellar filament structural protein,Cell motility,fliC,"GadE,FliA,H-NS,EcpR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10321
b1944,0.07863030060000001,fliL,flagellar protein FliL,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10322
b1890,0.0700348714,motA,motility protein A,Cell motility,motAB-cheAW,"FliA,CpxR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10601
b4634,0.0697548642,aaaD,DLP12 prophage%3B protein AaaD,Function unknown,aaaD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16718
b1942,-0.0674516007,fliJ,flagellar biosynthesis protein FliJ,Cell motility,fliFGHIJK,"RpoD,FliA,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G378
b4621,-0.0718590323,yjbS,uncharacterized protein YjbS,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10607
b1926,-0.0804042878,fliT,flagellar biosynthesis protein FliT,Transcription,fliDST,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11389
b1566,-0.0846713159,flxA,Qin prophage%3B protein FlxA,No COG annotation,flxA,"Fis,FliA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6833
b1421,-0.08767939400000001,trg,methyl-accepting chemotaxis protein Trg,Cell motility,trg,"FliA,Fis,Crp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11018
b1951,-0.0913534222,rcsA,DNA-binding transcriptional activator RcsA,Transcription,rcsA,"RpoD,H-NS,RcsAB,GadE,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10820
b3072,-0.0936170969,aer,aerotaxis sensor receptor%2C flavoprotein,Signal transduction mechanisms,aer,"FliA,Fnr,Crp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7595
b1904,-0.0997160641,yecR,lipoprotein YecR,Function unknown,yecR,"Fnr,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7035
b3524,-0.0997412179,yhjG,AsmA family protein YhjG,Cell wall/membrane/envelope biogenesis,yhjG,RpoS,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12251
b1937,-0.10253265290000001,fliE,flagellar basal-body protein FliE,Cell motility,fliE,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11346
b1948,-0.104232748,fliP,flagellar biosynthesis protein FliP,Cell motility,fliLMNOPQR,"RpoD,FliA,ppGpp,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11975
b1879,-0.1109643678,flhA,flagellar biosynthesis protein FlhA,Cell motility,flhBAE,"RpoD,YcjW,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G370
b1742,-0.1170633204,ves,HutD family protein Ves,Function unknown,ves,FliA,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6938
b1760,-0.1194199071,ynjH,DUF1496 domain-containing protein YnjH,Function unknown,ynjH,"FliA,Lrp,Nac,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6955
b1043,-0.1212083293,csgC,inhibitor of CsgA amyloid formation,Cell wall/membrane/envelope biogenesis,,"RpoD,RpoS,FliZ,CpxR,CsgD,BtsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6548
b1878,-0.1422445098,flhE,flagellar protein,Cell motility,flhBAE,"RpoD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7027
b1949,-0.1475139766,fliQ,flagellar biosynthesis protein FliQ,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11976
b4495,-0.1606054009,yedN,putative type III secreted effector%2C N-terminal fragment,Function unknown,,gcvB,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7043
b1950,-0.1691556442,fliR,flagellar biosynthesis protein FliR,Cell motility,fliLMNOPQR,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11977
b1044,-0.2039249898,ymdA,uncharacterized protein YmdA,No COG annotation,ymdAB-clsC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6549
