locus,gene_weight,gene_name,gene_product,operon,regulator,link
glnW,0.3682004746794701,glnW,tRNA,glnW,[],
yadC,0.2306445586681366,yadC,"Intracellular trafficking, secretion, and vesicular transport",yadMLKC,[],
yedY,0.19844324469566346,yedY,Function unknown,msrPQ,[],
lipA,0.19823972553014754,lipA,Coenzyme transport and metabolism,lipA,['yheO'],
folX,0.19150925479829312,folX,Coenzyme transport and metabolism,folX-yfcH,[],
borD,0.18804065212607385,borD,Function unknown,borD,"['nac', 'phoP']",
lacY,0.1718618702888489,lacY,Carbohydrate transport and metabolism,lacZYA,"['crp', 'h-NS', 'lacI', 'rpoD', 'yeiE']",
katE,0.16159553945064545,katE,Inorganic ion transport and metabolism,katE,"['fis', 'fur', 'rpoS']",
rne,0.16015896290540696,rne,"Translation, ribosomal structure and biogenesis",rne,['rpoD'],
nupG,0.14703887611627578,nupG,Carbohydrate transport and metabolism,mutY-yggX-mltC-nupG,"['crp', 'cytR', 'deoR', 'rpoD']",
arcB,0.14030426755547526,arcB,Signal transduction mechanisms,arcB,['yieP'],
uxuR,0.13609278708696365,uxuR,Transcription,uxuR,"['crp', 'exuR', 'rpoD', 'uxuR']",
selC,-0.14357107788324355,selC,tRNA,selC,[],
ygiZ,-0.17625631585717202,ygiZ,Function unknown,ygiZ,['rcsB;bglJ'],
