locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS10735,0.20395034553421346,Saci_2220,Saci_2220,"R2-like ligand-binding oxidase, ribonucleotide reductase small subunit",Nucleotide transport and metabolism,Op1348,,https://www.uniprot.org/uniprot/A0A0U3H448
SACI_RS10730,0.19600902185351965,Saci_2219,Saci_2219,hypothetical protein,Lipid transport and metabolism,Op1347,,https://www.uniprot.org/uniprot/A0A0U2Y2D3
SACI_RS10720,0.1938365351588004,mmgC_2,Saci_2217,acyl-CoA dehydrogenase family protein,Lipid transport and metabolism,Op1345,,https://www.uniprot.org/uniprot/A0A0U3FQM0
SACI_RS10745,0.18783847017845529,Saci_2223,Saci_2223,hypothetical protein,Energy production and conversion,Op1349,,https://www.uniprot.org/uniprot/A0A0U3HBU2
SACI_RS10740,0.1875052270117602,Saci_2221,Saci_2221,hypothetical protein,Function Unknown,Op1349,,https://www.uniprot.org/uniprot/UPI00005528C2
SACI_RS10700,0.18699747723855367,bpoC,Saci_2213,alpha/beta hydrolase,General Function Prediction Only,Op1341,,https://www.uniprot.org/uniprot/F2Z668
SACI_RS10755,0.18694659118702905,Saci_2225,Saci_2225,long-chain-fatty-acid--CoA ligase,Lipid transport and metabolism,Op1351,,https://www.uniprot.org/uniprot/UPI0002B2A55A
SACI_RS10710,0.17088840007255726,Saci_2215,Saci_2215,hypothetical protein,No arCOG annotation,Op1343,,https://www.uniprot.org/uniprot/A0A0U3GHV8
SACI_RS10750,0.16144225739927953,Saci_2224,Saci_2224,alcohol dehydrogenase catalytic domain-containing protein,General Function Prediction Only,Op1350,,https://www.uniprot.org/uniprot/A0A0U2NAP3
SACI_RS10725,0.15415708337424067,fadJ_5,Saci_2218,3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein,Lipid transport and metabolism,Op1346,,https://www.uniprot.org/uniprot/A0A0U3FYV7
SACI_RS10715,0.13954259617791412,Saci_2216,Saci_2216,hypothetical protein,Lipid transport and metabolism,Op1344,,https://www.uniprot.org/uniprot/A0A0U2VXF7
SACI_RS10705,0.1339434786841554,Saci_2214,Saci_2214,hypothetical protein,No arCOG annotation,Op1342,,https://www.uniprot.org/uniprot/A0A0U3GXE1
SACI_RS10335,0.12928808261175648,Saci_2137,Saci_2137,beta-alanine aminotransferase,Amino acid transport and metabolism,Op1280,"BarR,hypotonic-K,hypotonic-all",https://www.uniprot.org/uniprot/A0A0U3HCW1
SACI_RS10760,0.12481878249816665,Saci_2226,Saci_2226,hypothetical protein,Energy production and conversion,Op1352,,https://www.uniprot.org/uniprot/A0A0U3HFW6
SACI_RS10690,0.11922417940872933,Saci_2211,Saci_2211,long-chain-fatty-acid--CoA ligase,Lipid transport and metabolism,Op1339,,https://www.uniprot.org/uniprot/A0A0U3GLS7
SACI_RS10695,0.1160223123290418,Saci_2212,Saci_2212,R2-like ligand-binding oxidase,Nucleotide transport and metabolism,Op1340,,https://www.uniprot.org/uniprot/A0A0U3GN22
SACI_RS10675,0.10325873748244266,fadJ_4,Saci_2208,3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein,Lipid transport and metabolism,Op1337,,https://www.uniprot.org/uniprot/A0A0U3FHD7
