locus,gene_weight,gene_name,gene_product,cog,operon,regulator,link
b1856,0.1902461591,mepM,peptidoglycan DD-endopeptidase MepM,Cell wall/membrane/envelope biogenesis,mepM,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10013
b1847,0.1697340664,yebF,secreted protein YebF,Function unknown,yebF,"Lrp,ppGpp",https://ecocyc.org/gene?orgid=ECOLI&id=EG11807
b1832,0.16959247800000002,msrC,free methionine-(R)-sulfoxide reductase,Signal transduction mechanisms,msrC,,https://ecocyc.org/gene?orgid=ECOLI&id=G7005
b1826,0.16268121400000002,mgrB,PhoQ kinase inhibitor,Function unknown,mgrB,PhoP,https://ecocyc.org/gene?orgid=ECOLI&id=G7002
b1829,0.1557259461,htpX,zinc dependent endoprotease,"Post-translational modification, protein turnover,and chaperones",htpX,"RpoH,OmpR,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=EG10462
b1850,0.15049197990000002,eda,KHG/KDPG aldolase,Carbohydrate transport and metabolism,edd-eda,"RpoD,Cra,KdgR,PhoB,GntR",https://ecocyc.org/gene?orgid=ECOLI&id=EG10256
b1854,0.14867427960000001,pykA,pyruvate kinase II,Nucleotide transport and metabolism,pykA,"RpoD,YqhC,RpoS,Fnr,dicF",https://ecocyc.org/gene?orgid=ECOLI&id=EG10803
b1836,0.1457073663,yebV,protein YebV,Function unknown,yebV,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G7009
b1830,0.14357368140000001,prc,tail-specific protease,Cell wall/membrane/envelope biogenesis,proQ-prc,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10760
b1823,0.13984862110000001,cspC,stress protein%2C member of the CspA family,Transcription,yobF-cspC,"RpoD,BtsR",https://ecocyc.org/gene?orgid=ECOLI&id=EG12204
b1827,0.1394080091,kdgR,DNA-binding transcriptional repressor KdgR,Transcription,kdgR,Nac,https://ecocyc.org/gene?orgid=ECOLI&id=G7003
b1839,0.1392947077,yebY,DUF2511 domain-containing protein YebY,Function unknown,yobA-yebZY,fnrS,https://ecocyc.org/gene?orgid=ECOLI&id=G7012
b1852,0.1390608172,zwf,NADP(+)-dependent glucose-6-phosphate dehydrogenase,Nucleotide transport and metabolism,zwf,"RpoD,YciT,Fur,Fnr,Cra,MarA,Rob,SoxS",https://ecocyc.org/gene?orgid=ECOLI&id=EG11221
b1831,0.1385945855,proQ,RNA chaperone ProQ,Signal transduction mechanisms,proQ-prc,,https://ecocyc.org/gene?orgid=ECOLI&id=EG12866
b1848,0.1363823613,yebG,DNA damage-inducible protein YebG,Function unknown,yebG,"RpoD,LexA",https://ecocyc.org/gene?orgid=ECOLI&id=EG11808
b1824,0.13617846960000002,yobF,DUF2527 domain-containing protein YobF,Function unknown,yobF-cspC,"RpoD,oxyS,YdcI,YdcR,YcaN,Nac,BtsR,cyaR",https://ecocyc.org/gene?orgid=ECOLI&id=G7000
b4536,0.1348157848,yobH,protein YobH,Function unknown,yobH,,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10454
b1825,0.13251768190000002,yebO,uncharacterized protein YebO,Function unknown,yebO,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=G7001
b1855,0.1314257451,lpxM,myristoyl-acyl carrier protein-dependent acyltransferase,Cell wall/membrane/envelope biogenesis,lpxM,,https://ecocyc.org/gene?orgid=ECOLI&id=EG10614
b1853,0.1305356187,yebK,DNA-binding transcriptional repressor YebK,Transcription,yebK,YebK,https://ecocyc.org/gene?orgid=ECOLI&id=EG12860
b1841,0.1295109767,yobA,CopC domain-containing protein,Function unknown,yobA-yebZY,"YdcI,fnrS,Nac",https://ecocyc.org/gene?orgid=ECOLI&id=G7014
b1844,0.12548822,exoX,exonuclease X,"Replication, recombination and repair",yobB-exoX,"YdhB,OmpR",https://ecocyc.org/gene?orgid=ECOLI&id=G7016
b1842,0.1219067432,holE,DNA polymerase III subunit theta,"Replication, recombination and repair",holE,Nac,https://ecocyc.org/gene?orgid=ECOLI&id=EG11505
b1849,0.1198001298,purT,phosphoribosylglycinamide formyltransferase 2,Nucleotide transport and metabolism,purT,"RpoD,ppGpp,PurR,Lrp",https://ecocyc.org/gene?orgid=ECOLI&id=EG11809
b1822,0.1196845135,rlmA,23S rRNA m(1)G745 methyltransferase,"Translation, ribosomal structure and biogenesis",rlmA,ppGpp,https://ecocyc.org/gene?orgid=ECOLI&id=EG12207
b1840,0.1132384216,yebZ,putative inner membrane protein,Inorganic ion transport and metabolism,yobA-yebZY,fnrS,https://ecocyc.org/gene?orgid=ECOLI&id=G7013
b1846,0.1104485526,yebE,conserved inner membrane protein YebE,Function unknown,yebE,"RpoD,CpxR",https://ecocyc.org/gene?orgid=ECOLI&id=EG11806
b1837,0.10781256260000001,yebW,protein YebW,Function unknown,yebW,,https://ecocyc.org/gene?orgid=ECOLI&id=G7010
b1834,0.1072475801,yebT,intermembrane transport protein YebT,"Secondary metabolites biosynthesis, transport, and catabolism",yebST,,https://ecocyc.org/gene?orgid=ECOLI&id=G7007
b1851,0.10118678510000001,edd,phosphogluconate dehydratase,Amino acid transport and metabolism,edd-eda,"RpoD,KdgR,Cra,GntR",https://ecocyc.org/gene?orgid=ECOLI&id=EG10257
