locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PhrR,link
PN96_RS11850,0.1383786718685886,PN96_RS11850,hypothetical protein,No COG annotation,Op2667,,False,
PN96_RS02110,0.132020088146176,PN96_RS02110,RNA polymerase sigma factor,Transcription,Op501,,False,
PN96_RS20615,0.1297830940032845,PN96_RS20615,DUF4174 domain-containing protein,Function unknown,Op1440,,False,
PN96_RS02100,0.1297359112088214,PN96_RS02100,LON peptidase substrate-binding domain-containing protein,Function unknown,Op498,,False,
PN96_RS07960,0.1283619180945996,PN96_RS07960,chalcone isomerase family protein,Coenzyme transport and metabolism,Op2034,PhrR,True,
PN96_RS02105,0.1238025373624587,PN96_RS02105,DUF4397 domain-containing protein,Carbohydrate transport and metabolism,Op498,,False,
PN96_RS18100,0.1207565630140992,PN96_RS18100,glutathione peroxidase,"Post-translational modification, protein turnover, and chaperones",Op783,,False,
PN96_RS07985,0.1184916856363104,PN96_RS07985,SDR family oxidoreductase,Function unknown,Op2034,PhrR,True,
PN96_RS07990,0.1171567499215305,PN96_RS07990,nuclear transport factor 2 family protein,Function unknown,Op2034,PhrR,True,
PN96_RS07955,0.1169468818572172,PN96_RS07955,DUF3833 domain-containing protein,Function unknown,Op2033,PhrR,True,
PN96_RS07975,0.1156329981056935,PN96_RS07975,DUF1365 family protein,Function unknown,Op2034,PhrR,True,
PN96_RS07965,0.1150385075225128,PN96_RS07965,DUF2878 domain-containing protein,Function unknown,Op2034,PhrR,True,
PN96_RS02115,0.1110639180261361,PN96_RS02115,ChrR family anti-sigma-E factor,Signal transduction mechanisms,Op501,,False,
PN96_RS07980,0.1039699352512683,PN96_RS07980,NAD(P)/FAD-dependent oxidoreductase,Function unknown,Op2034,"PhrR,QstR",True,
PN96_RS15260,0.0991046488028958,PN96_RS15260,glutathione S-transferase family protein,"Post-translational modification, protein turnover, and chaperones",Op10,,False,
PN96_RS18095,0.0975333033022084,PN96_RS18095,DUF3429 domain-containing protein,Function unknown,Op783,,False,
PN96_RS07970,0.0838648061449852,PN96_RS07970,cyclopropane-fatty-acyl-phospholipid synthase family protein,Cell wall/membrane/envelope biogenesis,Op2034,PhrR,True,
PN96_RS18050,-0.093721306716078,dmeF,CDF family Co(II)/Ni(II) efflux transporter DmeF,Inorganic ion transport and metabolism,Op769,,False,
