locus,gene_weight,gene_name,gene_product,COG,operon,regulator,YgbI,link
b2738,0.3697458487,ygbL,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,Carbohydrate transport and metabolism,ygbLM,YgbI,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7419
b2736,0.3517735387,ygbJ,putative L-threonate dehydrogenase,Lipid transport and metabolism,ygbJK,YgbI,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7417
b2737,0.3504677344,ygbK,putative 3-oxo-tetronate kinase YgbK,Function unknown,ygbJK,"FlhDC,FliA,YgbI",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7418
b2739,0.3150180016,ygbM,putative 2-oxo-tetronate isomerase YgbM,Carbohydrate transport and metabolism,ygbLM,YgbI,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7420
b2740,0.2121915091,ygbN,putative transporter YgbN,Amino acid transport and metabolism,ygbN,YgbI,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7421
b1800,0.1754865645,dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),Energy production and conversion,dmlA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6986
b2788,0.08814087870000001,gudX,glucarate dehydratase-related protein,Cell wall/membrane/envelope biogenesis,gudPXD,"CdaR,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7446
b2787,0.08416715570000001,gudD,D-glucarate dehydratase,Cell wall/membrane/envelope biogenesis,gudPXD,CdaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7445
b2735,0.08360994270000001,ygbI,putative DeoR-type DNA-binding transcriptional regulator YgbI,Transcription,ygbI,YgbI,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7416
b2789,0.0726069104,gudP,galactarate/glucarate/glycerate transporter GudP,Inorganic ion transport and metabolism,gudPXD,CdaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7447
