locus,gene_weight,gene_name,gene_product,cog,operon,regulator,CdaR,link
b3127,0.3744022524,garP,galactarate/glucarate/glycerate transporter GarP,Inorganic ion transport and metabolism,garPLRK-rnpB,"RpoD,H-NS,CdaR,Fnr,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12760
b3126,0.3588089074,garL,alpha-dehydro-beta-deoxy-D-glucarate aldolase,Carbohydrate transport and metabolism,garPLRK-rnpB,"RpoD,YfeC,H-NS,CdaR,Fnr,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10016
b2789,0.3241236198,gudP,galactarate/glucarate/glycerate transporter GudP,Inorganic ion transport and metabolism,gudPXD,CdaR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7447
b3125,0.3232378697,garR,tartronate semialdehyde reductase,Lipid transport and metabolism,garPLRK-rnpB,"RpoD,H-NS,CdaR,Fnr,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11176
b2788,0.2667570161,gudX,glucarate dehydratase-related protein,Cell wall/membrane/envelope biogenesis,gudPXD,"CdaR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7446
b2787,0.2585875117,gudD,D-glucarate dehydratase,Cell wall/membrane/envelope biogenesis,gudPXD,CdaR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7445
b3124,0.24859566360000002,garK,glycerate 2-kinase 1,Carbohydrate transport and metabolism,garPLRK-rnpB,"RpoD,H-NS,CdaR,Fnr,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11175
b3128,0.2385336788,garD,galactarate dehydratase,Amino acid transport and metabolism,garD,"CdaR,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12522
b0162,0.14108064110000001,cdaR,DNA-binding transcriptional activator CdaR,Transcription,cdaR,"CdaR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12335
b1800,0.0825021506,dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),Energy production and conversion,dmlA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6986
