locus,gene_weight,gene_name,gene_product,cog,operon,regulator,RcsAB,link
b2053,0.2535907343,gmd,GDP-mannose 4%2C6-dehydratase,Nucleotide transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11787
b2052,0.23310222200000003,fcl,GDP-L-fucose synthase,Carbohydrate transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11788
b2054,0.2267989347,wcaF,putative acyl transferase,Function unknown,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7099
b2055,0.22122406160000002,wcaE,putative colanic acid biosynthesis glycosyl transferase,Function unknown,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7100
b2062,0.21939313670000002,wza,outer membrane polysaccharide export protein Wza,Cell wall/membrane/envelope biogenesis,wza-wzb-wzc-wcaAB,"RpoD,RpoE,RcsAB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7107
b2051,0.2129284687,gmm,GDP-mannose mannosyl hydrolase,Nucleotide transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11789
b2061,0.2101705623,wzb,protein-tyrosine phosphatase,Signal transduction mechanisms,wza-wzb-wzc-wcaAB,"RpoD,RpoE,RcsAB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7106
b2059,0.2099931427,wcaA,putative colanic acid biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,wza-wzb-wzc-wcaAB,"RpoD,RcsAB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7104
b4026,0.2097395491,yjbE,uncharacterized protein YjbE,No COG annotation,yjbEFGH,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11923
b2060,0.2053519861,wzc,protein-tyrosine kinase Wzc,"Cell cycle control, cell division, chromosome partitioning",wza-wzb-wzc-wcaAB,"RpoD,RpoE,RcsAB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7105
b2056,0.2052587384,wcaD,putative colanic acid polymerase,Function unknown,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7101
b2048,0.18553205790000002,cpsG,phosphomannomutase,Nucleotide transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10162
b2050,0.1786856535,wcaI,putative colanic biosynthesis glycosyl transferase,Carbohydrate transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11790
b2057,0.1750546708,wcaC,putative colanic acid biosynthesis glycosyl transferase,Cell wall/membrane/envelope biogenesis,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7102
b2058,0.1743981541,wcaB,putative colanic acid biosynthesis acyl transferase,Amino acid transport and metabolism,wza-wzb-wzc-wcaAB,"RpoD,RcsAB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7103
b2049,0.1695313306,cpsB,mannose-1-phosphate guanylyltransferase,Carbohydrate transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10161
b2047,0.1616513255,wcaJ,undecaprenyl-phosphate glucose phosphotransferase,Cell wall/membrane/envelope biogenesis,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7098
b4027,0.15331246980000002,yjbF,lipoprotein YjbF,Cell wall/membrane/envelope biogenesis,yjbEFGH,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11924
b2045,0.14935460750000001,wcaK,putative colanic acid biosynthesis pyruvyl transferase,Function unknown,wcaKLM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7096
b2046,0.1414656484,wzxC,M-antigen undecaprenyl disphosphate flippase,Function unknown,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7097
b4028,0.1341589075,yjbG,capsule biosynthesis GfcC family protein YjbG,Function unknown,yjbEFGH,"RpoD,RcsAB,IHF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11925
