locus,gene_weight,gene_name,gene_product,COG,operon,regulator,CodY,link
USA300HOU_RS11085,0.187163819,leuB,3-isopropylmalate dehydrogenase,Amino acid transport and metabolism,"ilvC,leuA,leuB,leuC,leuD,ilvA",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005308000
USA300HOU_RS11075,0.185482538,ilvC,ketol-acid reductoisomerase,Amino acid transport and metabolism,"ilvC,leuA,leuB,leuC,leuD,ilvA",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005306000
USA300HOU_RS11080,0.18383996500000002,leuA,2-isopropylmalate synthase,Amino acid transport and metabolism,"ilvC,leuA,leuB,leuC,leuD,ilvA",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005307000
USA300HOU_RS11090,0.177770016,leuC,3-isopropylmalate dehydratase large subunit,Amino acid transport and metabolism,"ilvC,leuA,leuB,leuC,leuD,ilvA",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005309000
USA300HOU_RS11060,0.17356052100000002,ilvD,dihydroxy-acid dehydratase,Amino acid transport and metabolism,"ilvD,ilvB,ilvN",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005303000
USA300HOU_RS11065,0.16764611100000001,ilvB,"acetolactate synthase, large subunit, biosynthetic type",Amino acid transport and metabolism,"ilvD,ilvB,ilvN",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005304000
USA300HOU_RS11100,0.162818824,ilvA,L-threonine dehydratase biosynthetic IlvA,Amino acid transport and metabolism,"ilvC,leuA,leuB,leuC,leuD,ilvA",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005311000
USA300HOU_RS11095,0.158683988,leuD,3-isopropylmalate dehydratase small subunit,Amino acid transport and metabolism,"ilvC,leuA,leuB,leuC,leuD,ilvA",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005310000
USA300HOU_RS11070,0.105379415,ilvN,acetolactate synthase,Amino acid transport and metabolism,"ilvD,ilvB,ilvN",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005305000
USA300HOU_RS11215,0.10046198,kdpA,potassium-transporting ATPase A chain,Inorganic ion transport and metabolism,"kdpC,kdpB,kdpA",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005349000
USA300HOU_RS14115,0.092079516,gabT,aspartate aminotransferase family protein,Amino acid transport and metabolism,gabT,CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN006301000
USA300HOU_RS06745,0.08977195,lysC,aspartate kinase,Amino acid transport and metabolism,lysC,CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003698000
USA300HOU_RS02325,0.08975284400000001,metn1,methionine import ATP-binding protein MetN 1,Inorganic ion transport and metabolism,,CymR,False,
USA300HOU_RS11205,0.089274538,kdpC,potassium-transporting ATPase subunit C,Inorganic ion transport and metabolism,"kdpC,kdpB,kdpA",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005347000
USA300HOU_RS14580,0.08629932600000001,USA300HOU_RS14580,DNA-directed RNA polymerase subunit delta,Function unknown,"cbiQ,ykoD",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006442000
USA300HOU_RS04415,0.08428492800000001,metQ,methionine ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,"metN,metI,metQ","CodY,SAM,Genomic Island 3",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002840000
USA300HOU_RS02330,0.083627087,USA300HOU_RS02330,ABC transporter permease,Inorganic ion transport and metabolism,,CymR,False,
USA300HOU_RS04410,0.08332863800000001,metI,ABC transporter permease,Inorganic ion transport and metabolism,"metN,metI,metQ","CodY,SAM,Genomic Island 3",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002839000
USA300HOU_RS11210,0.082910259,kdpB,potassium-transporting ATPase subunit B,Inorganic ion transport and metabolism,"kdpC,kdpB,kdpA",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005348000
USA300HOU_RS02335,0.07966500900000001,metQ,ABC transporter substrate-binding protein,Inorganic ion transport and metabolism,metQ,CymR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002178000
USA300HOU_RS06750,0.079415121,hoM,homoserine dehydrogenase,Amino acid transport and metabolism,"hoM,thrC,thrB,ba_5646",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003700000
USA300HOU_RS14525,0.079305897,hisH,imidazole glycerol phosphate synthase subunit HisH,Amino acid transport and metabolism,"hisF,hisF,hisA,hisH,hisB,hisC,hisD,hisG,hisZ","HisR,CodY",True,https://aureowiki.med.uni-greifswald.de/SAUPAN006430000
USA300HOU_RS14540,0.07878021,hisD,histidinol dehydrogenase,Amino acid transport and metabolism,"hisF,hisF,hisA,hisH,hisB,hisC,hisD,hisG,hisZ","HisR,CodY",True,https://aureowiki.med.uni-greifswald.de/SAUPAN006433000
USA300HOU_RS14545,0.07819041900000001,hisG,ATP phosphoribosyltransferase,Amino acid transport and metabolism,"hisF,hisF,hisA,hisH,hisB,hisC,hisD,hisG,hisZ","HisR,CodY",True,https://aureowiki.med.uni-greifswald.de/SAUPAN006434000
USA300HOU_RS14520,0.07727492,hisA,1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase,Amino acid transport and metabolism,"hisF,hisF,hisA,hisH,hisB,hisC,hisD,hisG,hisZ","HisR,CodY",True,https://aureowiki.med.uni-greifswald.de/SAUPAN006429000
USA300HOU_RS14550,0.077230453,hisZ,ATP phosphoribosyltransferase regulatory subunit,Amino acid transport and metabolism,"hisF,hisF,hisA,hisH,hisB,hisC,hisD,hisG,hisZ","HisR,CodY",True,https://aureowiki.med.uni-greifswald.de/SAUPAN006435000
USA300HOU_RS06760,0.076890259,thrB,homoserine kinase,Amino acid transport and metabolism,"hoM,thrC,thrB,ba_5646",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003702000
USA300HOU_RS14575,0.076858022,USA300HOU_RS14575,DUF3816 family protein,Function unknown,"cbiQ,ykoD",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006441000
USA300HOU_RS14570,0.07659176100000001,ykoD,heme ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,"cbiQ,ykoD",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006440000
USA300HOU_RS14530,0.076245511,hisB,imidazoleglycerol-phosphate dehydratase,Amino acid transport and metabolism,"hisF,hisF,hisA,hisH,hisB,hisC,hisD,hisG,hisZ","HisR,CodY",True,https://aureowiki.med.uni-greifswald.de/SAUPAN006431000
USA300HOU_RS06755,0.07557835,thrC,threonine synthase,Amino acid transport and metabolism,"hoM,thrC,thrB,ba_5646",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN003701000
USA300HOU_RS01895,0.075242747,metf-2,bifunctional homocysteine S-methyltransferase/methylenetetrahydrofolate reductase,Amino acid transport and metabolism,"metE,metf-2,metC,metB","CodY,T-box(Met)",True,https://aureowiki.med.uni-greifswald.de/SAUPAN001901000
USA300HOU_RS07110,0.074701293,dapB,4-hydroxy-tetrahydrodipicolinate reductase,Amino acid transport and metabolism,"lysC,asD,dapA,dapB,dapH","CodY,Lysine",True,https://aureowiki.med.uni-greifswald.de/SAUPAN003809000
USA300HOU_RS07115,0.074123986,dapH,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase",Amino acid transport and metabolism,"lysC,asD,dapA,dapB,dapH","CodY,Lysine",True,https://aureowiki.med.uni-greifswald.de/SAUPAN003810000
USA300HOU_RS07105,0.07247481600000001,dapA,4-hydroxy-tetrahydrodipicolinate synthase,Amino acid transport and metabolism,"lysC,asD,dapA,dapB,dapH","CodY,Lysine",True,https://aureowiki.med.uni-greifswald.de/SAUPAN003808000
USA300HOU_RS14535,0.072275094,hisC,histidinol-phosphate aminotransferase,Amino acid transport and metabolism,"hisF,hisF,hisA,hisH,hisB,hisC,hisD,hisG,hisZ","HisR,CodY",True,https://aureowiki.med.uni-greifswald.de/SAUPAN006432000
USA300HOU_RS07100,0.069883211,asD,aspartate-semialdehyde dehydrogenase,Amino acid transport and metabolism,"lysC,asD,dapA,dapB,dapH","CodY,Lysine",True,https://aureowiki.med.uni-greifswald.de/SAUPAN003807000
USA300HOU_RS07095,0.069635115,lysC,aspartate kinase,Amino acid transport and metabolism,"lysC,asD,dapA,dapB,dapH",Lysine,False,https://aureowiki.med.uni-greifswald.de/SAUPAN003806000
USA300HOU_RS04405,0.069231342,metN,methionine import ATP-binding protein MetN 2,Inorganic ion transport and metabolism,"metN,metI,metQ","CodY,SAM,Genomic Island 3",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002838000
USA300HOU_RS00825,0.06833657500000001,cap5F,capsular polysaccharide biosynthesis protein Cap8F,Cell wall/membrane/envelope biogenesis,"capD,cap5F",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000980000
USA300HOU_RS01900,0.06810477300000001,metC,cystathionine beta-lyase,Amino acid transport and metabolism,"metE,metf-2,metC,metB","CodY,T-box(Met)",True,https://aureowiki.med.uni-greifswald.de/SAUPAN001902000
USA300HOU_RS01890,0.06775571100000001,metE,5-methyltetrahydropteroyltriglutamate-- homocysteine methyltransferase,Amino acid transport and metabolism,"metE,metf-2,metC,metB","CodY,T-box(Met)",True,https://aureowiki.med.uni-greifswald.de/SAUPAN001900000
USA300HOU_RS14515,0.066406739,hisF,imidazole glycerol phosphate synthase cyclase subunit,Amino acid transport and metabolism,"hisF,hisF,hisA,hisH,hisB,hisC,hisD,hisG,hisZ","HisR,CodY",True,https://aureowiki.med.uni-greifswald.de/SAUPAN006428000
USA300HOU_RS00820,0.065505796,capD,UDP-glucose 4-epimerase,Cell wall/membrane/envelope biogenesis,"capD,cap5F",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN000979000
USA300HOU_RS09145,0.06530026900000001,serA,D-3-phosphoglycerate dehydrogenase,Amino acid transport and metabolism,"sgaA,serA",CodY,True,https://aureowiki.med.uni-greifswald.de/SAUPAN004379000
LAC_H_01829,0.06322172100000001,LAC_H_01829,LAC_H_01829,No COG category,,,False,
