locus,gene_weight,gene_name,gene_product,cog,operon,regulator,GacA,link
ABUW_2534,0.2641412182,paaH,phenylacetate-CoA oxygenase%2C PaaH subunit,"Secondary metabolites biosynthesis, transport, and catabolism",Op1293,GacA,True,
ABUW_2535,0.2601755203,paaG,phenylacetate-CoA oxygenase%2C PaaG subunit,Function unknown,Op1293,GacA,True,
ABUW_2533,0.2508396703,paaI2,phenylacetate-CoA oxygenase%2C PaaI subunit,Function unknown,Op1293,GacA,True,
ABUW_2531,0.2400845342,paaK,phenylacetate-CoA oxygenase/reductase%2C PaaK subunit,Energy production and conversion,Op1293,GacA,True,
ABUW_2532,0.2283871009,paaJ,phenylacetate-CoA oxygenase%2C PaaJ subunit,Function unknown,Op1293,GacA,True,
ABUW_2536,0.21540110540000001,paaN,phenylacetic acid degradation protein PaaN,Energy production and conversion,,,False,
ABUW_2530,0.2076532584,caiD,enoyl-coA hydratase,Lipid transport and metabolism,Op1293,,False,
ABUW_2529,0.20624941260000001,paaB,enoyl-CoA hydratase,Lipid transport and metabolism,Op1293,GacA,True,
ABUW_2528,0.1689924196,paaC,3-hydroxyacyl-CoA dehydrogenase,Lipid transport and metabolism,Op1293,GacA,True,
ABUW_1113,0.1499947723,ABUW_1113,indole-3-pyruvate decarboxylase,Carbohydrate transport and metabolism,Op590,,False,
ABUW_2527,0.14037107470000001,paaE,beta-ketoadipyl CoA thiolase,Lipid transport and metabolism,Op1293,GacA,True,
ABUW_1114,0.1159416109,aroP3,aromatic amino acid transport protein,Amino acid transport and metabolism,Op591,,False,
ABUW_1111,0.09364545240000001,ABUW_1111,aldehyde dehydrogenase,Energy production and conversion,Op589,,False,
ABUW_2526,0.0876767392,paaF,phenylacetate-CoA ligase,Coenzyme transport and metabolism,Op1293,GacA,True,
ABUW_2523,0.08144888930000001,paaI1,thioesterase domain protein,"Secondary metabolites biosynthesis, transport, and catabolism",Op1292,GacA,True,
