locus,gene_weight,gene_name,gene_product,cog,operon,regulator,PhoB,link
b4106,0.2916486686,phnC,phosphonate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10713
b4583,0.28129814140000003,phnE,phosphonate ABC transporter membrane subunit,Inorganic ion transport and metabolism,,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11283
b4105,0.26502821790000003,phnD,phosphonate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10714
b4101,0.2288357769,phnG,carbon-phosphorus lyase core complex subunit PhnG,Inorganic ion transport and metabolism,,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10716
b4100,0.22673111480000002,phnH,carbon-phosphorus lyase core complex subunit PhnH,Inorganic ion transport and metabolism,,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10717
b4102,0.2165584206,phnF,putative transcriptional regulator PhnF,Transcription,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10715
b4099,0.2016115272,phnI,carbon-phosphorus lyase core complex subunit PhnI,Inorganic ion transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10718
b4096,0.17970448760000002,phnL,methylphosphonate degradation complex subunit PhnL,Inorganic ion transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10721
b4097,0.17938428380000002,phnK,carbon-phosphorus lyase subunit PhnK,Inorganic ion transport and metabolism,,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10720
b3615,0.1710436821,waaH,UDP-glucuronate:LPS(HepIII) glycosyltransferase,Function unknown,waaH,"RpoD,PhoB,NsrR,ppGpp,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11266
b4095,0.170904413,phnM,RPnTP hydrolase,Inorganic ion transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10722
b4098,0.16897851160000002,phnJ,carbon-phosphorus lyase core complex subunit PhnJ,Coenzyme transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10719
b0241,0.1498968089,phoE,outer membrane porin PhoE,Cell wall/membrane/envelope biogenesis,phoE,"RpoD,PhoB,micF",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10729
b0383,0.1348940912,phoA,alkaline phosphatase,Inorganic ion transport and metabolism,phoA-psiF,"RpoD,YidZ,PhoB,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10727
b4094,0.10324819090000001,phnN,ribose 1%2C5-bisphosphate phosphokinase,Nucleotide transport and metabolism,phnCDE_1E_2FGHIJKLMNOP,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10723
b0384,0.0952455365,psiF,PsiF family protein,Function unknown,phoA-psiF,"RpoD,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11401
b3453,0.08440752500000001,ugpB,sn-glycerol 3-phosphate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,ugpBAECQ,"RpoD,Crp,ppGpp,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11047
b3452,0.0785835049,ugpA,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpA,Carbohydrate transport and metabolism,ugpBAECQ,"RpoD,Crp,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11046
b3451,0.06590675950000001,ugpE,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpE,Carbohydrate transport and metabolism,ugpBAECQ,"RpoD,Crp,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11049
b3450,0.0647891055,ugpC,sn-glycerol 3-phosphate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,ugpBAECQ,"RpoD,Crp,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11048
b4217,0.0617956473,ytfK,DUF1107 domain-containing protein YtfK,Function unknown,ytfK,"PhoB,RpoS,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7872
b2049,0.0609615604,cpsB,mannose-1-phosphate guanylyltransferase,Carbohydrate transport and metabolism,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10161
b2046,0.054785129200000005,wzxC,M-antigen undecaprenyl disphosphate flippase,Function unknown,wcaCDEF-gmd-fcl-gmm-wcaI-cpsBG-wcaJ-wzxC,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7097
b0983,0.053691375900000005,gfcE,putative exopolysaccharide export lipoprotein GfcE,Cell wall/membrane/envelope biogenesis,gfcE-etp-etk,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6504
b0385,0.0511479731,dgcC,diguanylate cyclase DgcC,Signal transduction mechanisms,dgcC,"YfeC,RpoS,CsgD",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11257
