locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,LldR,FruR,link
PA3562,0.33420536,fruI,,PTS system fructose-specific transporter subunit FruI,Carbohydrate transport and metabolism,"FruR,FruR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3562&e1=1&assembly=complete
PA3561,0.32257002700000004,fruK,,1-phosphofructokinase,Coenzyme transport and metabolism,"FruR,FruR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3561&e1=1&assembly=complete
PA3560,0.31929707100000004,fruA,,PTS system fructose-specific transporter subunit IIBC,Carbohydrate transport and metabolism,"FruR,FruR",False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3560&e1=1&assembly=complete
PA2323,0.227462409,PA2323,,glyceraldehyde-3-phosphate dehydrogenase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2323&e1=1&assembly=complete
PA2290,0.11963805100000001,gcd,,glucose dehydrogenase,Carbohydrate transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2290&e1=1&assembly=complete
PA3559,0.09391763800000001,PA3559,,nucleotide sugar dehydrogenase,Cell wall/membrane/envelope biogenesis,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3559&e1=1&assembly=complete
PA2289,0.09317481300000001,PA2289,,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2289&e1=1&assembly=complete
PA2264,0.08549400600000001,PA2264,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",PtxS,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2264&e1=1&assembly=complete
PA2265,0.079910941,PA2265,,gluconate dehydrogenase,Amino acid transport and metabolism,PtxS,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2265&e1=1&assembly=complete
PA4771,0.076602432,lldD,,L-lactate dehydrogenase,Energy production and conversion,LldR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4771&e1=1&assembly=complete
PA4770,0.075486933,lldP,,L-lactate permease,Energy production and conversion,LldR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4770&e1=1&assembly=complete
