,gene_name,start,end,strand,gene_product,cog,uniprot,regulator
STM0002,thrA,337,2799,+,aspartokinase I,Amino acid transport and metabolism,,"arcA,crp,fnr,ile-tRNA,lrp,rpoD,thr-tRNA"
STM0003,thrB,2801,3730,+,homoserine kinase,Nucleotide transport and metabolism,,"arcA,crp,fnr,ile-tRNA,lrp,rpoD,thr-tRNA"
STM0004,thrC,3734,5020,+,threonine synthase,Amino acid transport and metabolism,,"arcA,crp,fnr,ile-tRNA,lrp,rpoD,thr-tRNA"
STM0005,yaaA,5114,5887,-,putative cytoplasmic protein,Function unknown,,
STM0006,yaaJ,5966,7396,-,putative alanine/glycine transport protein,"Intracellular trafficking, secretion, and vesicular transport",,
STM0007,talB,7665,8618,+,transaldolase B,Nucleotide transport and metabolism,,
STM0008,mog,8729,9319,+,putative molybdochetalase,Coenzyme transport and metabolism,,
STM0009,yaaH,9376,9942,-,putative regulatory protein,Function unknown,,
STM0010,htgA,10092,10805,-,positive sigma H regulator,Function unknown,,
STM0011,yaaI,10841,11245,-,putative periplasmic protein,Function unknown,,
STM0012,dnaK,11593,13509,+,chaperone Hsp70,"Post-translational modification, protein turnover,and chaperones",,"rpoH,ybiH"
STM0013,dnaJ,13595,14734,+,heat shock protein DnaJ,"Post-translational modification, protein turnover,and chaperones",,rpoH
STM0014,STM0014,15014,15961,+,putative LysR family transcriptional regulator,Transcription,,
STM0015,STM0015,16088,16432,+,putative bacteriophage protein,Function unknown,,
STM0016,STM0016,16493,17026,-,hypothetical protein,Function unknown,,
STM0017,STM0017,17043,17486,-,putative protein,Transcription,,
STM0018,STM0018,17867,19966,+,putative exochitinase,Carbohydrate transport and metabolism,,
STM0019,STM0019,20058,23054,+,putative hydroxymethyltransferase,Function unknown,,
STM0020,STM0020,23335,24039,+,putative cytoplasmic protein,Signal transduction mechanisms,,
STM0021,bcfA,24469,25011,+,fimbrial subunit,Cell motility,,
STM0022,bcfB,25112,25798,+,fimbrial chaparone,Cell wall/membrane/envelope biogenesis,,
STM0023,bcfC,25803,28424,+,fimbrial usher,Cell motility,,"nac,yeiE"
STM0024,bcfD,28425,29432,+,fimbrial subunit,Cell motility,,
STM0025,bcfE,29433,29978,+,fimbrial subunit,Cell motility,,"argR,nac"
STM0026,bcfF,29994,30512,+,fimbrial subunit,Cell motility,,"argR,nac"
STM0027,bcfG,30478,31209,+,fimbrial chaparone,Cell motility,,"argR,nac"
STM0028,bcfH,31274,32119,+,putative thiol-disulfide isomerase,"Post-translational modification, protein turnover,and chaperones",,
STM0029,STM0029,32545,32994,-,putative transcription regulator,Transcription,,
STM0030,STM0030,33364,34368,+,putative LysR family transcriptional regulator,Transcription,,
STM0031,STM0031,34376,34816,-,putative transcription regulator,Transcription,,
STM0032,STM0032,35339,37057,+,putative arylsulfatase,Cell wall/membrane/envelope biogenesis,,
STM0033,STM0033,37103,38674,-,putative 5'-nucleotidase,Nucleotide transport and metabolism,,
STM0034,STM0034,38773,39534,-,putative outer membrane or exported protein,Function unknown,,
STM0035,STM0035,40131,41624,+,putative arylsulfatase,Inorganic ion transport and metabolism,,"araC,argR,gadX,lrp,nagC,rpoD"
STM0036,STM0036,41723,42913,+,putative arylsulfatase regulatory protein,Energy production and conversion,,
STM0037,STM0037,42932,44185,+,putative cytoplasmic protein,"Replication, recombination and repair",,
STM0038,STM0038,44312,46027,+,putative arylsulfatase,Cell wall/membrane/envelope biogenesis,,
STM0039,nhaA,46190,47356,+,NhaA family of transport protein%2C Na+/H antiporter%2C pH dependent,Inorganic ion transport and metabolism,,"h-NS,nhaR,rpoD,rpoS,ydcI"
STM0040,nhaR,47418,48317,+,transcriptional activator of nhaA,Transcription,,"gadX,h-NS,nhaR,rpoD,rpoS"
STM0041,STM0041,48372,50411,-,putative glycosyl hydrolase,Carbohydrate transport and metabolism,,
STM0042,STM0042,50451,51824,-,putative sodium galactoside symporter,Inorganic ion transport and metabolism,,
STM0043,rpsT,52280,52543,-,30S ribosomal subunit protein S20,"Translation, ribosomal structure and biogenesis",,arcA
STM0044,yaaY,52649,52864,+,putative cytoplasmic protein,Function unknown,,
STM0045,ribF,52872,53810,+,flavokinase and FAD synthetase,Coenzyme transport and metabolism,,"arcA,rpoD"
STM0046,ileS,53855,56689,+,isoleucine tRNA synthetase,"Translation, ribosomal structure and biogenesis",,"arcA,rpoD,rpoH"
STM0047,lspA,56689,57189,+,prolipoprotein signal peptidase (SPase II),Cell wall/membrane/envelope biogenesis,,"arcA,rpoD,rpoH"
STM0048,slpA,57344,57793,+,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),Carbohydrate transport and metabolism,,"arcA,rpoD,rpoH"
STM0049,lytB,57796,58746,+,regulates the activity of guanosine 3'%2C5'-bispyrophosphate synthetase I (RelA),Lipid transport and metabolism,,"arcA,rpoD,rpoH"
STM0050,STM0050,58946,60148,+,putative nitrite reductase,No COG annotation,,
STM0051,rihC,60164,61084,+,putative purine nucleoside hydrolase,Carbohydrate transport and metabolism,,
STM0052,STM0052,61106,61792,-,putative transcription regulator sensor for citrate,Transcription,,
STM0053,STM0053,61794,63413,-,putative transcription regulator,Signal transduction mechanisms,,
STM0056,STM0056,66654,66893,-,putative oxalacetate decarboxylase%2C subunit gamma,Energy production and conversion,,
STM0057,STM0057,67052,68392,-,putative citrate-sodium symport,"Intracellular trafficking, secretion, and vesicular transport",,
STM0058,citC2,68637,69680,+,putative citrate lyase synthetase,Coenzyme transport and metabolism,,
STM0059,citD2,69710,70003,+,putative citrate lyase acyl carrier protein%2C gamma chain,Energy production and conversion,,
STM0060,citE2,70000,70869,+,putative citrate lyase beta chain%2C acyl lyase subunit,Carbohydrate transport and metabolism,,
STM0061,citF2,70880,72400,+,putative citrate lyase alpha chain,Energy production and conversion,,
STM0062,citX2,72400,72951,+,putative cytoplasmic protein,Coenzyme transport and metabolism,,
STM0063,citG2,72929,73837,+,putative modifier of citrate lyase protein,Nucleotide transport and metabolism,,
STM0064,dapB,74017,74838,+,dihydrodipicolinate reductase,Amino acid transport and metabolism,,"argP,rpoD"
STM0066,carA,75880,77028,+,carbamoyl-phosphate synthetase%2C glutamine-hydrolysing small subunit,Nucleotide transport and metabolism,,"arcA,argR,fis,ihf,pepA,purR,rpoD,rutR"
STM0067,carB,77047,80274,+,carbamoyl-phosphate synthase%2C large subunit,Nucleotide transport and metabolism,,"arcA,argR,fis,ihf,pepA,purR,rpoD,rutR"
STM0068,caiF,80548,80943,+,transcriptional regulator of cai and fix operon,Transcription,,"crp,fnr,h-NS,nac,narL,rpoD"
