locus,gene_weight,gene_name,gene_product,cog,regulator,HprR,CusR,CueR,link
b0573,0.5074831031661132,cusF,copper/silver export system periplasmic binding protein,Function unknown,"RpoD,PhoB,CusR,HprR",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6321
b0572,0.4873644895894701,cusC,copper/silver export system outer membrane channel,Cell wall/membrane/envelope biogenesis,"RpoD,YciT,PhoB,CusR,HprR",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6320
b0574,0.4580400990714899,cusB,copper/silver export system membrane fusion protein,Cell wall/membrane/envelope biogenesis,"RpoD,PhoB,CusR,HprR",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6322
b0575,0.3487675765228936,cusA,copper/silver export system RND permease,Inorganic ion transport and metabolism,"RpoD,PhoB,CusR,HprR",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12367
b0571,0.1837206580536647,cusR,DNA-binding transcriptional activator CusR,Transcription,"RpoD,PhoB,CusR,HprR",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6319
b0570,0.1680254600027092,cusS,sensory histidine kinase CusS,Signal transduction mechanisms,"RpoD,PhoB,CusR,HprR",True,True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6318
b0484,0.110229643615468,copA,Cu(+) exporting P-type ATPase,Inorganic ion transport and metabolism,"RpoD,OmpR,CueR",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6260
b0123,0.0924181001038121,cueO,cuprous oxidase/multicopper oxidase with role in copper homeostasis,"Secondary metabolites biosynthesis, transport, and catabolism","ryhB,CueR",False,False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12318
b0576,0.0674362163576372,pheP,phenylalanine:H(+) symporter PheP,Inorganic ion transport and metabolism,"RpoD,YcjW,ppGpp",False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10708
b1969,0.0549882159716026,hprR,DNA-binding transcriptional dual regulator HprR,Transcription,Nac,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7057
b1968,0.0546519533115271,hprS,sensory histidine kinase HprS,Signal transduction mechanisms,,False,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7056
