locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ComR,MarR,link
b3238,0.2311723175,yhcN,DUF1471 domain-containing stress-induced protein YhcN,Function unknown,yhcN,"ppGpp,Lrp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7683
b3242,0.1872681839,aaeX,DUF1656 domain-containing protein AaeX,Function unknown,,Crp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7687
b1532,0.18578228970000002,marB,multiple antibiotic resistance protein,Function unknown,,"RpoD,Cra,Crp,CpxR,AcrR,MarA,Rob,Fis,SoxS,MarR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11599
b1530,0.1637202462,marR,DNA-binding transcriptional repressor MarR,Transcription,marRAB,"RpoD,Cra,Crp,CpxR,AcrR,ppGpp,MarA,Rob,Fis,SoxS,MarR,Nac",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11435
b1531,0.1561359532,marA,DNA-binding transcriptional dual regulator MarA,Transcription,marRAB,"RpoD,Cra,Crp,CpxR,AcrR,MarA,Rob,Fis,SoxS,MarR,fnrS,ryhB",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11434
b3241,0.1375268906,aaeA,aromatic carboxylic acid efflux pump membrane fusion protein,Defense mechanisms,aaeXAB,"YbaQ,Crp",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7686
b1112,0.13061405140000001,bhsA,DUF1471 domain-containing multiple stress resistance outer membrane protein BhsA,Cell wall/membrane/envelope biogenesis,bhsA,"RpoD,RpoE,Crp,ComR",True,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6570
b3240,0.1120525948,aaeB,aromatic carboxylic acid efflux pump subunit AaeB,"Intracellular trafficking, secretion, and vesicular transport",aaeXAB,Crp,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7685
b4740,-0.1015316712,ymgM,protein YmgM,No COG annotation,,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16735
b4512,-0.1261723619,ybdD,conserved protein YbdD,Function unknown,ybdD,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10438
