locus,gene_weight,gene_name,gene_product,COG,operon,regulator,NanR,link
b3225,0.3047203161,nanA,N-acetylneuraminate lyase,Coenzyme transport and metabolism,nanATEK-yhcH,"RpoD,Fis,Crp,NanR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10637
b3224,0.2895796283,nanT,N-acetylneuraminate:H(+) symporter,Amino acid transport and metabolism,nanATEK-yhcH,"RpoD,Fis,Crp,NanR,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=G436
b3223,0.2828217309,nanE,putative N-acetylmannosamine-6-phosphate epimerase,Carbohydrate transport and metabolism,nanATEK-yhcH,"RpoD,Fis,Crp,NanR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7677
b3221,0.21478974050000002,yhcH,DUF386 domain-containing protein YhcH,Carbohydrate transport and metabolism,nanATEK-yhcH,"RpoD,Fis,NanR,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7675
b3222,0.2122160455,nanK,N-acetylmannosamine kinase,Nucleotide transport and metabolism,nanATEK-yhcH,"RpoD,Fis,Crp,NanR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7676
b4311,0.2031811399,nanC,N-acetylneuraminic acid outer membrane channel,Cell wall/membrane/envelope biogenesis,nanCMS,"Crp,NagC,NanR,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7921
b4279,0.1626799457,yjhB,putative sialic acid transporter,Inorganic ion transport and metabolism,yjhBC,"RpoH,NanR,NanR,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12544
b4280,0.1277586977,yjhC,KpLE2 phage-like element%3B putative oxidoreductase YjhC,Function unknown,yjhBC,"RpoD,RpoH,NanR,NanR,RpoH,RpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7901
b4310,0.1048058967,nanM,N-acetylneuraminate mutarotase,Cell wall/membrane/envelope biogenesis,nanCMS,"Crp,NagC,NanR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7920
b4309,0.0975793206,nanS,N-acetyl-9-O-acetylneuraminate esterase,Function unknown,nanCMS,"YciT,Crp,NagC,NanR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7919
