locus,gene_weight,gene_name,gene_product,cog,operon,regulator,TurA,link
PP_3783,0.2799332459675519,syrB,syringomycin biosynthesis enzyme 2,"Secondary metabolites biosynthesis, transport, and catabolism",Op2479,"TurA,PedR1,TurB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3783&e1=1&assembly=complete
PP_3781,0.2773195077981988,PP_3781,Oxygen-independent Coproporphyrinogen III oxidase family protein,Coenzyme transport and metabolism,Op2479,"TurA,PedR1,TurB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3781&e1=1&assembly=complete
PP_3782,0.2759878039564099,PP_3782,conserved protein of unknown function,"Secondary metabolites biosynthesis, transport, and catabolism",Op2479,"TurA,PedR1,TurB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3782&e1=1&assembly=complete
PP_3784,0.247889659907449,PP_3784,conserved protein of unknown function,"Translation, ribosomal structure and biogenesis",Op2480,"TurA,PedR1",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3784&e1=1&assembly=complete
PP_3785,0.2361452149017913,PP_3785,conserved protein of unknown function,No COG annotation,Op2480,"TurA,PedR1,TurB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3785&e1=1&assembly=complete
PP_5628,0.2097069641382364,PP_5628,conserved protein of unknown function,No COG annotation,Op2480,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5628&e1=1&assembly=complete
PP_3786,0.204373126803627,aspC,aminotransferase,Amino acid transport and metabolism,Op2480,"TurA,TurB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3786&e1=1&assembly=complete
PP_3788,0.2016706864277908,PP_3788,putative Non-ribosomal peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",Op2480,"TurA,TurB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3788&e1=1&assembly=complete
PP_3789,0.1687705336390724,PP_3789,putative Efflux transporter,Carbohydrate transport and metabolism,Op2480,"TurA,TurB,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3789&e1=1&assembly=complete
PP_3787,0.1568001548461012,PP_3787,conserved protein of unknown function,Lipid transport and metabolism,Op2480,"TurA,TurB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3787&e1=1&assembly=complete
PP_3778,0.1537605666878584,proC,Pyrroline-5-carboxylate reductase,Amino acid transport and metabolism,Op2476,"TurA,TurB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3778&e1=1&assembly=complete
PP_3777,0.143241685860696,PP_3777,conserved protein of unknown function,"Translation, ribosomal structure and biogenesis",Op2476,TurA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3777&e1=1&assembly=complete
PP_3776,0.1373031148789156,PP_3776,putative permease (RarD protein),Function unknown,Op2476,TurA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3776&e1=1&assembly=complete
PP_3790,0.1293575474594472,PP_3790,diaminopimelate epimerase,Amino acid transport and metabolism,Op2481,TurA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3790&e1=1&assembly=complete
PP_3775,0.1234752389345284,PP_3775,putative sarcosine oxidase,Amino acid transport and metabolism,Op2476,"TurA,TurB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3775&e1=1&assembly=complete
PP_3780,0.0973017901878412,PP_3780,conserved protein of unknown function,No COG annotation,Op2478,TurA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3780&e1=1&assembly=complete
PP_4967,0.0917564396639316,metK,methionine adenosyltransferase,Coenzyme transport and metabolism,Op3236,"TurA,SahR",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4967&e1=1&assembly=complete
