locus,comp,gene_name,product,operon,TF,flhD;flhC,link
b1073,0.245173926538,flgB,flagellar basal-body rod protein FlgB,"flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G358
b1074,0.231061325388,flgC,flagellar basal-body rod protein FlgC,"flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G359
b1922,0.230495438595,fliA,"RNA polymerase, sigma 28 (sigma F) factor","fliA, fliZ, tcyJ","Sigma28, Sigma70, csgD, flhD;flhC, h-NS, matA, nsrR, sutR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11355
b1075,0.228282968509,flgD,"flagellar biosynthesis, initiation of hook assembly","flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G360
b1076,0.20977636426899998,flgE,flagellar hook protein FlgE,"flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G361
b1077,0.20098411494500001,flgF,flagellar basal-body rod protein FlgF,"flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G362
b1944,0.19034693908599998,fliL,flagellar protein FliL,"fliL, fliM, fliN, fliO, fliP, fliQ, fliR","Sigma28, Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10322
b1938,0.18394428871500001,fliF,flagellar M-ring protein FliF; basal-body MS(membrane and supramembrane)-ring and collar protein,"fliF, fliG, fliH, fliI, fliJ, fliK","Sigma28, Sigma70, csgD, flhD;flhC, yieP",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11347
b1078,0.17159459921,flgG,flagellar basal-body rod protein FlgG,"flgB, flgC, flgD, flgE, flgF, flgG, flgH, flgI, flgJ","Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=G363
b1945,0.163980421524,fliM,flagellar motor switch protein FliM,"fliL, fliM, fliN, fliO, fliP, fliQ, fliR","Sigma28, Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10323
b1946,0.15664121335,fliN,flagellar motor switch protein FliN,"fliL, fliM, fliN, fliO, fliP, fliQ, fliR","Sigma28, Sigma70, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10324
b1939,0.155948056478,fliG,flagellar motor switch protein FliG,"fliF, fliG, fliH, fliI, fliJ, fliK","Sigma28, Sigma70, csgD, flhD;flhC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11654
