locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,operon,regulator,link
SACI_RS00030,0.2430271239477941,Saci_0006,Saci_0006,winged helix-turn-helix transcriptional regulator,Transcription,Op1,,https://www.uniprot.org/uniprot/A0A0U3F8V4
SACI_RS07960,0.21660685397971632,Saci_1668,Saci_1668,predicted periplasmic solute-binding protein,General Function Prediction Only,Op920,XylR,https://www.uniprot.org/uniprot/A0A0U2VZ71
SACI_RS03450,0.15313317586025166,Saci_0724,Saci_0724,hypothetical protein,Function Unknown,Op384,,https://www.uniprot.org/uniprot/A0A0U3GJX8
SACI_RS02570,0.13844890781446195,Saci_0538,Saci_0538,hypothetical protein,No arCOG annotation,Op308,,https://www.uniprot.org/uniprot/A0A0U3F7L4
SACI_RS08300,0.13453525685263287,Saci_1737,Saci_1737,Predicted periplasmic solute binding protein,General Function Prediction Only,Op975,XylR,https://www.uniprot.org/uniprot/A0A0U3GPB1
SACI_RS11760,0.1294248899894838,SACI_RS11760,,quinol oxidase subunit 2,Energy production and conversion,Op1249,,https://www.uniprot.org/uniprot/UPI000B5A7FB5
SACI_RS06900,0.116784754500064,SACI_RS06900,,hypothetical protein,"Replication, recombination and repair",Op798,,https://www.uniprot.org/uniprot/A0A0U3FTF6
SACI_RS02175,0.1082675593852697,Saci_0449,Saci_0449,helix-turn-helix domain-containing protein,Transcription,Op254,,https://www.uniprot.org/uniprot/A0A0U3HAC8
SACI_RS08625,0.10424672156298558,Saci_1801,Saci_1801,hypothetical protein,Function Unknown,Op1026,,https://www.uniprot.org/uniprot/A0A0U3H576
SACI_RS00795,0.10191243233217748,Saci_0167,Saci_0167,hypothetical protein,Function Unknown,Op95,,https://www.uniprot.org/uniprot/A0A0U3HB35
SACI_RS05870,0.09870453548717943,Saci_1231,Saci_1231,hypothetical protein,Function Unknown,Op685,,https://www.uniprot.org/uniprot/A0A0U3HK31
SACI_RS11910,0.0985911793705351,Saci_2356,Saci_2356,hypothetical protein,Function Unknown,Op1434,XylR,https://www.uniprot.org/uniprot/A0A0U2NAI3
SACI_RS01445,0.09226456589297502,moaA_1,Saci_0296,PTO1314 family radical SAM protein,General Function Prediction Only,Op165,,https://www.uniprot.org/uniprot/A0A0U3H336
SACI_RS02250,0.09116149834740207,Saci_0464,Saci_0464,hypothetical protein,No arCOG annotation,Op264,,https://www.uniprot.org/uniprot/A0A0U2X0I3
SACI_RS08380,0.0899235346604162,Saci_1753,Saci_1753,hypothetical protein,Function Unknown,Op989,,https://www.uniprot.org/uniprot/A0A0U3FSN3
SACI_RS09625,0.08657772237035939,Saci_1990,Saci_1990,hypothetical protein,Function Unknown,Op1181,,https://www.uniprot.org/uniprot/A0A0U2Y2Y0
SACI_RS10495,0.08608461076227139,Saci_2170,Saci_2170,thermopsin family protease,Amino acid transport and metabolism,Op1308,,https://www.uniprot.org/uniprot/A0A0U3GN56
SACI_RS09240,0.08225960994446614,Saci_1918,Saci_1918,FkbM family methyltransferase,"Secondary metabolites biosynthesis, transport and catabolism",Op1121,,https://www.uniprot.org/uniprot/A0A0U3GWK3
SACI_RS04230,0.07655136850296383,naiP,Saci_0886,MFS transporter,Carbohydrate transport and metabolism,Op468,,https://www.uniprot.org/uniprot/A0A0U3HAF2
SACI_RS05955,0.07440972524721955,Saci_1248,Saci_1248,hypothetical protein,Function Unknown,Op698,,https://www.uniprot.org/uniprot/A0A0U3GU82
SACI_RS00605,0.07433581306877966,Saci_0128,Saci_0128,stage II sporulation protein M,General Function Prediction Only,Op67,,https://www.uniprot.org/uniprot/A0A0U3GMB5
SACI_RS05830,0.0732307816418123,abfR2,Saci_1223,Lrs14 family biofilm regulator AbfR2,Transcription,Op678,biofilm,https://www.uniprot.org/uniprot/A0A0U3FE21
SACI_RS01395,0.07252442494802856,Saci_0286,Saci_0286,DedA family protein,Function Unknown,Op157,,https://www.uniprot.org/uniprot/A0A0U2Y936
SACI_RS11435,0.06892611824335627,glmS,Saci_2364,glutamine--fructose-6-phosphate transaminase (isomerizing),Cell wall/membrane/envelope biogenesis,Op1439,,https://www.uniprot.org/uniprot/A0A0U3FYJ6
