locus,gene_weight,gene_name,gene_product,cog,regulator,Crp,GntR,link
b4267,0.3461999893492759,idnD,L-idonate 5-dehydrogenase,Amino acid transport and metabolism,"GntR,IdnR,Crp,GlaR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7893
b4266,0.3153122455733341,idnO,5-keto-D-gluconate 5-reductase,Lipid transport and metabolism,"GntR,IdnR,Crp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7892
b3437,0.3099743650938695,gntK,D-gluconate kinase%2C thermostable,Nucleotide transport and metabolism,"RpoD,IdnR,Crp,GntR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12629
b4476,0.2665265517198006,gntU,low-affinity gluconate transporter,Inorganic ion transport and metabolism,"RpoD,IdnR,Crp,ppGpp,GntR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12631
b4268,0.2503182463372723,idnK,D-gluconate kinase%2C thermosensitive,Nucleotide transport and metabolism,"RpoD,GntR,IdnR,Crp,GlaR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12152
b3415,0.2373328461343432,gntT,high-affinity gluconate transporter,Inorganic ion transport and metabolism,"RpoD,Crp,GntR",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12380
b4265,0.2023237236872206,idnT,L-idonate/5-ketogluconate/gluconate transporter,Inorganic ion transport and metabolism,"GntR,IdnR,Crp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12539
b1851,0.1517251352144364,edd,phosphogluconate dehydratase,Amino acid transport and metabolism,"RpoD,KdgR,Cra,GntR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10257
b4264,0.0924610658833196,idnR,DNA-binding transcriptional dual regulator IdnR,Transcription,"RpoD,GntR,IdnR,Crp",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7891
b1850,0.088721860851486,eda,KHG/KDPG aldolase,Carbohydrate transport and metabolism,"RpoD,Cra,KdgR,PhoB,GntR",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10256
b3893,0.0705211390050322,fdoH,formate dehydrogenase O subunit beta,Energy production and conversion,SdhX,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11857
b0112,-0.0848160206448873,aroP,aromatic amino acid:H(+) symporter AroP,"Intracellular trafficking, secretion, and vesicular transport","RpoD,Cra,TyrR,ArgR,Fnr,GlaR",False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10084
