locus,gene_weight,gene_name,gene_product,COG,operon,regulator,Nac,link
b1988,0.3207082446,nac,DNA-binding transcriptional dual regulator Nac,Transcription,nac,"RpoN,Fur,Fnr,NtrC,ppGpp,Nac,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7072
b1440,0.2053943994,ydcS,putative ABC transporter periplasmic binding protein/polyhydroxybutyrate synthase,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6751
b1441,0.19300059120000002,ydcT,putative ABC transporter ATP-binding protein YdcT,Inorganic ion transport and metabolism,ydcSTUV-patD,"YeiE,RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6752
b1443,0.1794579492,ydcV,putative ABC transporter membrane subunit YdcV,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6754
b1932,0.1714654678,yedL,putative acetyltransferase YedL,Transcription,yedL,Nac,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7040
b1442,0.1560189536,ydcU,putative ABC transporter membrane subunit YdcU,Inorganic ion transport and metabolism,ydcSTUV-patD,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6753
b1444,0.1511661889,patD,gamma-aminobutyraldehyde dehydrogenase,Energy production and conversion,ydcSTUV-patD,"RpoS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6755
b3446,0.1292139622,yrhB,putative heat shock chaperone,Function unknown,yrhB,Nac,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7763
b2883,0.1254239104,guaD,guanine deaminase,Nucleotide transport and metabolism,xanQ-guaD-ghxQ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7502
b4208,0.11821170830000001,cycA,serine/alanine/glycine/cycloserine:H(+)symporter,Amino acid transport and metabolism,cycA,"gcvB,Lrp,Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12504
b1339,0.1161030388,abgR,putative LysR-type DNA-binding transcriptional regulator AbgR,Transcription,abgR,"YfeC,Crp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6671
b3043,0.1102305073,ygiL,putative fimbrial protein YgiL,Cell motility,ygiL,"YbdO,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12363
b3225,0.10564331360000001,nanA,N-acetylneuraminate lyase,Coenzyme transport and metabolism,nanATEK-yhcH,"RpoD,Fis,Crp,NanR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10637
b1384,0.0955657043,feaR,DNA-binding transcriptional activator FeaR,Transcription,feaR,"QseB,RpoD,Crp,NsrR,Nac,PhoB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6706
b2663,0.0888122252,gabP,4-aminobutyrate:H(+) symporter,Amino acid transport and metabolism,csiD-lhgO-gabDTP,"RpoD,YddM,RpoS,H-NS,Nac,Crp,Lrp,GlaR,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11330
b2664,0.0837775706,glaR,DNA-binding transcriptional repressor CsiR,Transcription,csiR,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12386
b4464,0.0794689137,ghxQ,guanine/hypoxanthine transporter GhxQ,Function unknown,xanQ-guaD-ghxQ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7503
b0336,0.07835501460000001,codB,cytosine transporter,Nucleotide transport and metabolism,codBA,"RpoD,PurR,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11327
b2175,0.076701485,mepS,peptidoglycan DD-endopeptidase/peptidoglycan LD-carboxypeptidase,Cell wall/membrane/envelope biogenesis,mepS,"YebK,YedW,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7147
b3324,0.0701154308,gspC,Type II secretion system protein GspC,"Intracellular trafficking, secretion, and vesicular transport",gspCDEFGHIJKLMO,"RpoD,ppGpp,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7702
b0644,0.06801886730000001,ybeQ,Sel1 repeat-containing protein YbeQ,No COG annotation,ybeQ,"ppGpp,LeuO,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6351
b3325,0.056091334900000005,gspD,Type II secretion system protein GspD,Cell motility,gspCDEFGHIJKLMO,"RpoD,SlyA,H-NS,Fur",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7703
