locus,gene_weight,gene_name,gene_product,COG,operon,regulator,gcvB,link
b2650,0.1562331542,ypjC,DUF5507 domain-containing protein YpjC,No COG annotation,ypjC,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7385
b3442,0.1471784335,yhhZ,putative endonuclease YhhZ,Function unknown,yhhZ-yrhA-insA-6AB-6B-6,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7759
b2850,0.13991350760000001,ygeF,protein YgeF,No COG annotation,,"YeiE,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7470
b4048,0.1295540907,yjbM,uncharacterized protein YjbM,Function unknown,,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11931
b2649,0.1102905921,ypjB,DUF5508 domain-containing protein YpjB,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7384
b4660,0.1097708543,yhiL,putative uncharacterized protein YhiL,Function unknown,,"gcvB,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12227
b4462,0.10962995980000001,ygaQ,putative uncharacterized protein YgaQ,Carbohydrate transport and metabolism,ygaQ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7389
b2852,0.10891391730000001,ygeH,putative transcriptional regulator YgeH,Transcription,ygeH,"RpoD,YdcR,CysB",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7472
b0501,0.1081796119,ybbD,putative uncharacterized protein YbbD,No COG annotation,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11770
b0706,0.10402851190000001,ybfD,H repeat-associated putative transposase YbfD,"Replication, recombination and repair",,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11524
b4495,0.1017259076,yedN,putative type III secreted effector%2C N-terminal fragment,Function unknown,,gcvB,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7043
b2851,0.10108754830000001,ygeG,TPR repeat-containing putative chaperone YgeG,Function unknown,,"gcvB,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7471
b2269,0.1007892569,elaD,protease ElaD,"Post-translational modification, protein turnover,and chaperones",elaD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7176
b0375,0.09943619890000001,iprA,putative DNA-binding transcriptional regulator IprA,Transcription,,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6226
b4257,0.0971930429,yjgN,conserved inner membrane protein YjgN,Function unknown,yjgN,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7887
