locus,gene_weight,gene_name,gene_product,COG,operon,regulator,FliA,link
b1923,0.2859542141,fliC,flagellar filament structural protein,Cell motility,fliC,"GadE,FliA,H-NS,EcpR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10321
b1886,0.2671446078,tar,methyl-accepting chemotaxis protein Tar,Cell motility,tar-tap-cheRBYZ,"FliA,Fnr,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10988
b1885,0.24182768300000002,tap,methyl-accepting chemotaxis protein Tap,Cell motility,tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10987
b1887,0.2368725763,cheW,chemotaxis protein CheW,Cell motility,motAB-cheAW,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10149
b3525,0.23681080980000002,pdeH,c-di-GMP phosphodiesterase PdeH,Signal transduction mechanisms,pdeH,"FlhDC,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12252
b1890,0.23645392140000002,motA,motility protein A,Cell motility,motAB-cheAW,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10601
b1888,0.2316124894,cheA,chemotaxis protein CheA,Cell motility,motAB-cheAW,"YciT,FliA,CpxR,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10146
b1194,0.2244394901,ycgR,flagellar brake protein YcgR,Cell wall/membrane/envelope biogenesis,ycgR,"FlhDC,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6623
b1889,0.2225119227,motB,motility protein B,Cell motility,motAB-cheAW,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10602
b1884,0.20540158860000002,cheR,chemotaxis protein methyltransferase,"Translation, ribosomal structure and biogenesis",tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10148
b4355,0.20264417210000002,tsr,methyl-accepting chemotaxis protein Tsr,Cell motility,tsr,"RpoD,YbiH,YddM,FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11034
b1882,0.1978762386,cheY,chemotaxis protein CheY,Transcription,tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10150
b1883,0.1924811421,cheB,protein-glutamate methylesterase/protein glutamine deamidase,Cell motility,tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10147
b1881,0.1799048878,cheZ,chemotaxis protein CheZ,"Translation, ribosomal structure and biogenesis",tar-tap-cheRBYZ,"FliA,Fnr,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10151
b1566,0.1502300147,flxA,Qin prophage%3B protein FlxA,No COG annotation,flxA,"Fis,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6833
b4110,0.14859558850000001,yjcZ,uncharacterized protein YjcZ,Function unknown,crfC-yjcZ,"FliA,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7823
b1742,0.1406463994,ves,HutD family protein Ves,Function unknown,ves,FliA,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6938
b1924,0.1363919244,fliD,flagellar filament capping protein,Cell motility,fliDST,"RpoD,FliA,FlhDC,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10841
b3666,0.1183606241,uhpT,hexose-6-phosphate:phosphate antiporter,Inorganic ion transport and metabolism,uhpT,"RpoD,oxyS,YeiE,UvrY,Crp,UhpA",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11054
b1082,0.1138781259,flgK,flagellar hook-filament junction protein 1,Cell motility,flgKL,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11967
b1083,0.1053698245,flgL,flagellar hook-filament junction protein 2,Cell motility,flgKL,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11545
b1925,0.1052053726,fliS,flagellar biosynthesis protein FliS,Cell motility,fliDST,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11388
b1926,0.0960703427,fliT,flagellar biosynthesis protein FliT,Transcription,fliDST,"RpoD,FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11389
b1421,0.0900428129,trg,methyl-accepting chemotaxis protein Trg,Cell motility,trg,"FliA,Fis,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11018
b1070,0.0787898223,flgN,flagellar biosynthesis protein FlgN,Cell motility,flgAMN,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6562
b1760,0.07540327520000001,ynjH,DUF1496 domain-containing protein YnjH,Function unknown,ynjH,"FliA,Lrp,Nac,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6955
