locus,gene_weight,gene_name,gene_product,cog,regulator,PhoP,link
b4242,0.2424555061564395,mgtA,Mg(2(+)) importing P-type ATPase,Inorganic ion transport and metabolism,"RpoD,YiaU,ppGpp,PhoP",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12525
b0877,0.2252835943140211,ybjX,DUF535 domain-containing protein YbjX,Function unknown,"Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6460
b0557,0.1882795162816042,borD,DLP12 prophage%3B prophage lipoprotein BorD,Function unknown,"PhoP,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6312
b1608,0.1796607258741737,rstA,DNA-binding transcriptional regulator RstA,Transcription,"PhoP,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6864
b1826,0.1724926962286144,mgrB,PhoQ kinase inhibitor,Function unknown,PhoP,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7002
b1609,0.1649572236389017,rstB,sensory histidine kinase RstB,Signal transduction mechanisms,PhoP,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11233
b0841,0.1601691460600924,ybjG,undecaprenyl pyrophosphate phosphatase,Lipid transport and metabolism,PhoP,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6439
b1160,0.1489987832013039,iraM,anti-adaptor protein IraM%2C inhibitor of sigma(S) proteolysis,Transcription,"RpoD,Fnr,ArcA,PhoP",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6600
b0293,0.1325254992766431,ecpA,common pilus major subunit,Function unknown,"RpoD,EcpR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6164
b0294,0.1199306962339684,ecpR,DNA-binding transcriptional dual regulator MatA,Transcription,"RpoE,EcpR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6165
b1505,0.1114921885997374,ydeT,fimbrial usher domain-containing protein YdeT,Cell motility,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6795
b1641,0.1088127409488107,slyB,outer membrane lipoprotein SlyB,Cell wall/membrane/envelope biogenesis,"YidZ,PhoP",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6881
b2259,0.108164317787371,pmrD,signal transduction protein PmrD,Function unknown,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7172
b0565,0.1006583839216941,ompT,outer membrane protease VII (outer membrane protein 3b),Cell wall/membrane/envelope biogenesis,"PhoP,omrA,omrB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10673
b1825,0.0919977070954877,yebO,uncharacterized protein YebO,Function unknown,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7001
b1130,0.0881169238848977,phoP,DNA-binding transcriptional dual regulator PhoP,Transcription,"RpoH,PhoP,gcvB,micA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10731
b0113,0.0879280702363265,pdhR,DNA-binding transcriptional dual regulator PdhR,Transcription,"RpoD,RpoS,Fnr,Crp,Cra,PdhR,GlaR,OmpR,BtsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11088
b4359,0.0869941755746947,opgB,phosphoglycerol transferase I,Cell wall/membrane/envelope biogenesis,gcvB,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12591
b0292,0.0835199612739605,ecpB,putative fimbrial chaperone EcpB,Cell wall/membrane/envelope biogenesis,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6163
b1816,-0.0864706500433334,yoaE,putative inner membrane protein,Inorganic ion transport and metabolism,RpoD,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6997
b4751,-0.11385035088042,yoaL,protein YoaL,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-16745
