locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FnrA,link
PP_1149,0.2836273539300246,PP_1149,putative protein of unknown function,No COG annotation,Op726,FleQ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1149&e1=1&assembly=complete
PP_5598,0.1989751520250321,PP_5598,conserved protein of unknown function,No COG annotation,Op2130,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5598&e1=1&assembly=complete
PP_0504,0.1869003550039586,oprG,Outer membrane protein OprG,Cell wall/membrane/envelope biogenesis,Op327,FleQ,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0504&e1=1&assembly=complete
PP_5392,0.1774304834272674,PP_5392,conserved hypothetical protein containing WD40/YVTN repeat domain,Energy production and conversion,Op3532,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5392&e1=1&assembly=complete
PP_0273,0.1661031834983189,PP_0273,conserved protein of unknown function,Function unknown,Op184,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0273&e1=1&assembly=complete
PP_4264,0.1649982222929395,hemN,oxygen-independent coproporphyrinogen III dehydrogenase,Coenzyme transport and metabolism,Op2760,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4264&e1=1&assembly=complete
PP_2648,0.1598860835785346,PP_2648,Universal stress protein family,Signal transduction mechanisms,Op1731,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2648&e1=1&assembly=complete
PP_5391,0.1486525048837105,PP_5391,conserved hypothetical protein,No COG annotation,Op3532,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5391&e1=1&assembly=complete
PP_3287,0.1440647044291762,fnrC,transcriptional regulator with 4Fe-4S cluster%3B Crp/Fnr family,Transcription,Op2130,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_3287&e1=1&assembly=complete
PP_5206,0.1411270960740621,yhiI,putative translation-related protein,Cell wall/membrane/envelope biogenesis,Op3393,"TurB,FleQ",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5206&e1=1&assembly=complete
PP_5390,0.1392311390689993,PP_5390,conserved hypothetical protein,Function unknown,Op3532,TurB,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5390&e1=1&assembly=complete
PP_2310,0.1281384600176864,PP_2310,Methyl-accepting chemotaxis transducer,Cell motility,Op1497,"AlgR,FleQ,AmrZ",False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2310&e1=1&assembly=complete
PP_4252,0.1233369065978454,ccoQ-I,cytochrome c oxidase subunit%2C cbb3-type,"Post-translational modification, protein turnover, and chaperones",Op2755,FnrA,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4252&e1=1&assembly=complete
PP_4251,0.1222936878038307,ccoO-I,cytochrome c oxidase subunit%2C cbb3-type,Energy production and conversion,Op2755,"RoxR,FnrA",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4251&e1=1&assembly=complete
PP_5389,0.122254290443886,PP_5389,conserved hypothetical protein,"Post-translational modification, protein turnover, and chaperones",Op3532,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5389&e1=1&assembly=complete
PP_2206,0.1218925693524155,yegQ,putative peptidase,"Post-translational modification, protein turnover, and chaperones",Op1425,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_2206&e1=1&assembly=complete
PP_4250,0.1210744598093193,ccoN-I,cytochrome c oxidase subunit I%2C cbb3-type,Energy production and conversion,Op2755,"RoxR,FnrA",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4250&e1=1&assembly=complete
PP_4103,0.0973522608162083,PP_4103,Low-affinity inorganic phosphate transporter,Inorganic ion transport and metabolism,Op2669,,False,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4103&e1=1&assembly=complete
