locus,gene_weight,gene_name,gene_product,COG,operon,regulator,YcjW,link
b1309,0.3371182366,ycjM,glucosylglycerate phosphorylase,Carbohydrate transport and metabolism,ycjMNOPQRSTUV-ymjB,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6647
b1310,0.28687852750000004,ycjN,putative ABC transporter periplasmic binding protein YcjN,Carbohydrate transport and metabolism,ycjMNOPQRSTUV-ymjB,"YcjW,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6648
b1318,0.2467558574,ycjV,putative ABC transporter ATP-binding protein YcjV,Inorganic ion transport and metabolism,,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6656
b1311,0.22601445180000002,ycjO,putative ABC transporter membrane subunit YcjO,Inorganic ion transport and metabolism,,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6649
b1314,0.2258993179,ycjR,putative ketohexose-3-epimerase YcjR,Carbohydrate transport and metabolism,,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6652
b1312,0.22451744240000002,ycjP,putative ABC transporter membrane subunit YcjP,Inorganic ion transport and metabolism,,"GlaR,YcjW",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6650
b1319,0.2243357309,ompG,outer membrane porin G,Cell wall/membrane/envelope biogenesis,ompG,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6657
b1313,0.2167555519,ycjQ,putative zinc-binding dehydrogenase YcjQ,Amino acid transport and metabolism,ycjMNOPQRSTUV-ymjB,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6651
b1317,0.2161178994,ycjU,beta-phosphoglucomutase,Function unknown,,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6655
b1596,0.1924324228,ynfM,putative transporter YnfM,Amino acid transport and metabolism,ynfM,YidZ,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6854
b1315,0.18561647280000002,ycjS,putative oxidoreductase YcjS,Function unknown,ycjMNOPQRSTUV-ymjB,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6653
b1316,0.1713061346,ycjT,kojibiose phosphorylase,Carbohydrate transport and metabolism,ycjMNOPQRSTUV-ymjB,YcjW,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6654
b3769,0.0875686932,ilvM,acetolactate synthase II subunit IlvM,Amino acid transport and metabolism,ilvLXG_1G_2MEDA,"RpoD,Lrp,IHF,Ile-tRNA,Leu-tRNA,Val-tRNA,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10501
b1320,-0.11999370320000001,ycjW,putative LacI-type DNA-binding transcriptional regulator YcjW,Transcription,ycjW,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6658
b0197,-0.1252710842,metQ,L-methionine/D-methionine ABC transporter membrane anchored binding protein,Inorganic ion transport and metabolism,metNIQ,"RpoD,MetJ,HypT",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11504
b1687,-0.1436149232,ydiJ,putative FAD-linked oxidoreductase,Energy production and conversion,ydiJ-menI-ydiH,YeiE,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6913
b1686,-0.2074342721,menI,1%2C4-dihydroxy-2-naphthoyl-CoA hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",ydiJ-menI-ydiH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6912
