locus,gene_weight,gene_name,gene_product,COG,operon,regulator,ArcA,link
b0721,0.1343248735,sdhC,succinate:quinone oxidoreductase%2C membrane protein SdhC,Energy production and conversion,sdhCDAB-sucABCD,"RpoD,YdcI,YdiP,Fur,Crp,Fnr,ArcA,Nac,rybB,ryhB,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10933
b2980,0.1261468777,glcC,DNA-binding transcriptional dual regulator GlcC,Transcription,glcC,"RpoD,Crp,Fis,Cra,GlcC,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7546
b0722,0.125284149,sdhD,succinate:quinone oxidoreductase%2C membrane protein SdhD,Energy production and conversion,sdhCDAB-sucABCD,"RpoD,ryhB,Fur,Crp,Fnr,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10934
b2181,0.11904722570000001,yejG,protein YejG,Function unknown,yejG,"Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12042
b3820,0.11172993690000001,yigI,putative thioesterase YigI,"Secondary metabolites biosynthesis, transport, and catabolism",yigI,"Nac,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11467
b0432,0.11037109660000001,cyoA,cytochrome bo3 ubiquinol oxidase subunit 2,Energy production and conversion,cyoABCDE,"RpoD,YneJ,Fis,GadE,Crp,Fnr,HprR,ArcA,Cra,Fur,CusR,PdhR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10178
b1518,0.1002332772,lsrG,(4S)-4-hydroxy-5-phosphonooxypentane-2%2C3-dione isomerase,Function unknown,lsrACDBFG-tam,"RpoS,Crp,LsrR,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6805
b0113,0.1001271769,pdhR,DNA-binding transcriptional dual regulator PdhR,Transcription,pdhR-aceEF-lpd,"RpoD,RpoS,Fnr,Cra,Crp,PdhR,GlaR,OmpR,BtsR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11088
b1422,0.0988392634,ydcI,putative DNA-binding transcriptional repressor YdcI,Transcription,ydcI,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6737
b1778,0.0962133872,msrB,methionine sulfoxide reductase B,"Post-translational modification, protein turnover,and chaperones",msrB,"RpoD,YfeC,ryhB,Fnr,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12394
b3426,0.09481743790000001,glpD,aerobic glycerol 3-phosphate dehydrogenase,Energy production and conversion,glpD,"RpoD,ArcA,Crp,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10394
b2587,0.09022882580000001,kgtP,alpha-ketoglutarate:H(+) symporter,Amino acid transport and metabolism,kgtP,ArcA,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10522
b0346,0.08686965940000001,mhpR,DNA-binding transcriptional activator MhpR,Transcription,mhpR-lacI,"RpoD,YbaQ,Crp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6201
b0458,0.0858625865,ylaC,putative inner membrane protein,Function unknown,ylaC,"YdcN,YdcR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6253
b0723,0.08539360530000001,sdhA,succinate:quinone oxidoreductase%2C FAD binding protein,Energy production and conversion,sdhCDAB-sucABCD,"RpoD,Fur,Crp,Fnr,ArcA,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10931
b3603,0.0843290034,lldP,lactate/glycolate:H(+) symporter LldP,Energy production and conversion,lldPRD,"RpoD,YdcI,ArcA,LldR,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11961
b3962,0.08247760430000001,sthA,soluble pyridine nucleotide transhydrogenase,Energy production and conversion,sthA,"Lrp,ArcA,spf",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11428
b3351,0.0823892536,kefG,protein required for KefB activity,Function unknown,kefGB-yheV,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7717
b1189,0.0819518989,dadA,D-amino acid dehydrogenase,Amino acid transport and metabolism,dadAX,"RpoD,YddM,Crp,ppGpp,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11407
b0431,0.0809918911,cyoB,cytochrome bo3 ubiquinol oxidase subunit 1,Energy production and conversion,cyoABCDE,"RpoD,Fis,Fnr,GadE,Crp,HprR,ArcA,Cra,Fur,CusR,PdhR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10179
b1332,0.0804498356,ynaJ,DUF2534 domain-containing protein YnaJ,Function unknown,ynaJ,ArcA,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6668
b1777,0.0776737063,yeaC,conserved protein YeaC,Function unknown,yeaC,ryhB,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6964
b2518,0.077448904,ndk,nucleoside diphosphate kinase,Nucleotide transport and metabolism,ndk,"ppGpp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10650
b1298,0.0760584342,puuD,gamma-glutamyl-gamma-aminobutyrate hydrolase,Function unknown,puuDRCBE,"RpoS,ArcA,Crp,ppGpp,PuuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6645
b3894,0.07522651820000001,fdoG,formate dehydrogenase O subunit alpha,Energy production and conversion,fdoGHI-fdhE,"YfeC,ryhB,YfeD,Nac,SdhX",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11858
b0724,0.0734480081,sdhB,succinate:quinone oxidoreductase%2C iron-sulfur cluster binding protein,Energy production and conversion,sdhCDAB-sucABCD,"RpoD,Fur,Crp,Fnr,ArcA,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10932
b0836,0.07088664830000001,bssR,regulator of biofilm formation,Function unknown,bssR,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6436
b0430,0.07026349900000001,cyoC,cytochrome bo3 ubiquinol oxidase subunit 3,Energy production and conversion,cyoABCDE,"RpoD,Fis,Fnr,GadE,Crp,HprR,ArcA,Cra,Fur,CusR,PdhR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10180
b2582,0.06906082200000001,trxC,reduced thioredoxin 2,"Post-translational modification, protein turnover,and chaperones",trxC,"RpoD,OxyR",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11887
b3452,0.0686957243,ugpA,sn-glycerol 3-phosphate ABC transporter membrane subunit UgpA,Carbohydrate transport and metabolism,ugpBAECQ,"RpoD,Crp,PhoB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11046
b2210,0.0671963956,mqo,malate:quinone oxidoreductase,Energy production and conversion,mqo,"Lrp,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12069
b1607,0.0667925093,ydgC,GlpM family protein,Function unknown,ydgC,ArcA,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6863
b0557,0.0659468008,borD,DLP12 prophage%3B prophage lipoprotein BorD,Function unknown,borD,"PhoP,Lrp,Nac",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6312
b1020,0.0651563382,phoH,ATP-binding protein PhoH,Signal transduction mechanisms,phoH,"RpoD,ppGpp,PhoB,Lrp,Nac,GlaR,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11734
b1190,0.06508283890000001,dadX,alanine racemase 2,Amino acid transport and metabolism,dadAX,"RpoD,Crp,ppGpp,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11408
b3453,0.0626936048,ugpB,sn-glycerol 3-phosphate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,ugpBAECQ,"RpoD,Crp,ppGpp,PhoB",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11047
b0429,0.062012614300000005,cyoD,cytochrome bo3 ubiquinol oxidase subunit 4,Energy production and conversion,cyoABCDE,"RpoD,Fis,Fnr,GadE,Crp,HprR,ArcA,Cra,Fur,CusR,PdhR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10181
b0330,0.0603177656,prpR,DNA-binding transcriptional dual regulator PrpR,Transcription,prpR,"RpoD,PrpR,Crp,AscG,PhoB",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6195
b4705,0.0599553877,mntS,small protein MntS,No COG annotation,rybA-mntS,"RpoD,MntR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10715
b1297,0.059330595800000004,puuA,glutamate-putrescine ligase,Amino acid transport and metabolism,puuAP,"RpoS,ArcA,Fnr,ppGpp,PuuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6644
b0124,0.0591604375,gcd,quinoprotein glucose dehydrogenase,Carbohydrate transport and metabolism,gcd,"RpoD,Crp,IHF",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10369
b1748,0.0583869674,astC,succinylornithine transaminase,Amino acid transport and metabolism,astCADBE,"RpoD,RpoN,RpoS,ArgR,NtrC,Lrp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6944
b3528,0.058092418300000004,dctA,C4 dicarboxylate/orotate:H(+) symporter,Energy production and conversion,dctA,"RpoD,ArcA,Crp,ppGpp,DcuR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG20044
b2241,-0.0641355796,glpA,anaerobic glycerol-3-phosphate dehydrogenase subunit A,Energy production and conversion,glpABC,"RpoD,YihW,Fis,FlhDC,ArcA,Fnr,Crp,ppGpp,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10391
b2848,-0.0662051,yqeJ,protein YqeJ,No COG annotation,yqeIJ,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7468
b0042,-0.0673000163,fixB,putative electron transfer flavoprotein FixB,Energy production and conversion,fixABCX,"RpoD,YbaQ,Fnr,Crp,CaiF",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11563
b2242,-0.0850964981,glpB,anaerobic glycerol-3-phosphate dehydrogenase subunit B,Energy production and conversion,glpABC,"RpoD,Fis,FlhDC,ArcA,Fnr,Crp,GlpR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10392
b2847,-0.0857353377,yqeI,putative transcriptional regulator YqeI,Transcription,yqeIJ,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7467
b0848,-0.0913710471,ybjM,putative inner membrane protein,Function unknown,ybjM,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6446
b0621,-0.0936470308,dcuC,anaerobic C4-dicarboxylate transporter DcuC,Inorganic ion transport and metabolism,dcuC,"YeiE,Fnr,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6347
