locus,gene_weight,gene_name,gene_product,cog,operon,regulator,ResD,link
BSU_03940,0.14381268014294465,cutI,putative membrane protein involved in copper intake,Function unknown,Op295,"SigA,YcnK,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03940
BSU_03950,0.14253840526438732,cutJ,copper import permease subunit,Inorganic ion transport and metabolism,Op296,"SigA,YcnK,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03950
BSU_03960,0.13462475400411855,cutR,transcriptional regulator of copper intake (CutR-Cu(+)),Transcription,Op297,"SigA,YcnK,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03960
BSU_07380,0.12987179538083735,yfmQ,conserved hypothetical protein,Function unknown,Op591,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_07380
BSU_03300,0.12645650974029593,nasD,assimilatory nitrite reductase subunit,Energy production and conversion,Op249,"ResD,SigA,TnrA,NsrR,Fur",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_03300
BSU_37310,0.12064261132088107,fnr,transcriptional regulator of anaerobic metabolism (FNR/CAP family),Transcription,Op2906,"ResD,SigA,Fnr,NsrR",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_37310
BSU_04240,0.1000786835173631,ydzA,conserved protein of unknown function,Amino acid transport and metabolism,Op316,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_04240
BSU_14870,0.09999414909027976,ctaA,heme-A synthase,"Post-translational modification, protein turnover, and chaperones",Op1171,"ResD,SigA,SigE",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_14870
BSU_12080,0.09528083124761293,ctaO,minor protoheme IX farnesyltransferase 1 (heme O synthase),"Post-translational modification, protein turnover, and chaperones",Op943,AbrB,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_12080
BSU_19140,0.09215374755303213,yozB,putative integral inner membrane protein,Function unknown,Op1484,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_19140
BSU_23140,0.07905844965637299,resB,factor required for cytochrome c synthesis,"Post-translational modification, protein turnover, and chaperones",Op1863,"ResD,SigA,PhoP,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_23140
BSU_06560,0.07870690465095025,yerA,putative adenine deaminase YerA,Nucleotide transport and metabolism,Op522,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_06560
BSU_18170,0.07813565413590412,yngA,putative conserved membrane protein possibly involved in arabinogalactan metabolism,Function unknown,Op1386,"SigM,YclJ",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_18170
BSU_38060,0.07782538267886331,nirC,nitrite transporter,Inorganic ion transport and metabolism,Op2949,Rex,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU_38060
