locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Zur,link
PN96_RS02240,0.2935693006912001,ykgO,type B 50S ribosomal protein L36,"Translation, ribosomal structure and biogenesis",Op536,,False,
PN96_RS02235,0.2912474534276235,PN96_RS02235,type B 50S ribosomal protein L31,"Translation, ribosomal structure and biogenesis",Op536,"Fur,Zur",True,
PN96_RS02245,0.2420358315889588,PN96_RS02245,AbgT family transporter,Coenzyme transport and metabolism,Op538,,False,
PN96_RS20330,0.2407079872074256,PN96_RS20330,ABC transporter substrate-binding protein,Amino acid transport and metabolism,Op1372,,False,
PN96_RS20335,0.227488593734678,PN96_RS20335,ABC transporter permease,Inorganic ion transport and metabolism,Op1372,,False,
PN96_RS20340,0.2243348965125748,PN96_RS20340,ABC transporter permease,Inorganic ion transport and metabolism,Op1372,,False,
PN96_RS24055,0.2115924642844663,PN96_RS24055,DUF2607 family protein,No COG annotation,Op1370,,False,
PN96_RS20345,0.2013012293843408,PN96_RS20345,ATP-binding cassette domain-containing protein,Inorganic ion transport and metabolism,Op1374,,False,
PN96_RS11950,0.1882518871681911,PN96_RS11950,DUF2796 domain-containing protein,Inorganic ion transport and metabolism,Op2682,Zur,True,
PN96_RS09365,0.1531337551666014,znuA,zinc ABC transporter substrate-binding protein ZnuA,Inorganic ion transport and metabolism,Op2362,Zur,True,
PN96_RS11955,0.1306109704798357,PN96_RS11955,ABC transporter ATP-binding protein,Defense mechanisms,Op2683,Zur,True,
PN96_RS09370,0.1248973401381733,znuC,zinc ABC transporter ATP-binding protein ZnuC,Inorganic ion transport and metabolism,Op2363,Zur,True,
PN96_RS11945,0.1216790863088304,PN96_RS11945,DUF2607 family protein,No COG annotation,Op2681,Zur,True,
PN96_RS11960,0.118771829290635,PN96_RS11960,ABC transporter permease,Defense mechanisms,Op2683,Zur,True,
PN96_RS09375,0.1135651716521056,znuB,zinc ABC transporter permease subunit ZnuB,Inorganic ion transport and metabolism,Op2363,Zur,True,
PN96_RS04140,0.0988435936046467,ribA,GTP cyclohydrolase II,Nucleotide transport and metabolism,Op1044,Zur,True,
PN96_RS11965,0.0970792122456807,PN96_RS11965,DUF3299 domain-containing protein,Function unknown,Op2683,Zur,True,
PN96_RS19085,0.0967471378913936,PN96_RS19085,hypothetical protein,No COG annotation,Op1035,,False,
