locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Fur,link
b4367,0.24063159550000002,fhuF,hydroxamate siderophore iron reductase,Function unknown,fhuF,"RpoD,YciT,OxyR,Fur,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7949
b0150,0.1906653067,fhuA,ferrichrome outer membrane transporter/phage receptor,Inorganic ion transport and metabolism,fhuACDB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10302
b0590,0.1477065391,fepD,ferric enterobactin ABC transporter membrane subunit FebD,Inorganic ion transport and metabolism,fepDGC,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10296
b3337,0.1452957869,bfd,bacterioferritin-associated ferredoxin,Inorganic ion transport and metabolism,bfd-bfr,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11181
b0591,0.1300184732,entS,enterobactin exporter EntS,Amino acid transport and metabolism,entS,"RpoD,YdhB,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11104
b3006,0.12609903590000002,exbB,Ton complex subunit ExbB,"Intracellular trafficking, secretion, and vesicular transport",exbBD,"RpoD,Fur,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10271
b3408,0.1229711973,feoA,ferrous iron transport protein A,Inorganic ion transport and metabolism,feoABC,"RpoD,Fnr,NagC,Fur,ArcA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12101
b0588,0.1219260516,fepC,ferric enterobactin ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,fepDGC,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10295
b1252,0.12135806680000001,tonB,Ton complex subunit TonB,"Intracellular trafficking, secretion, and vesicular transport",tonB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11012
b0589,0.12005008760000001,fepG,ferric enterobactin ABC transporter membrane subunit FepG,Inorganic ion transport and metabolism,fepDGC,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10298
b2211,0.1129187665,yojI,ABC transporter family protein/microcin J25 efflux protein,Inorganic ion transport and metabolism,yojI,"RpoD,YdcI,Lrp,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12070
b0151,0.1123360385,fhuC,iron(III) hydroxamate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,fhuACDB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10304
b3409,0.1116612331,feoB,Fe(2(+)) transporter FeoB,Inorganic ion transport and metabolism,feoABC,"RpoD,YcjW,Fnr,NagC,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12102
b3005,0.1104697778,exbD,Ton complex subunit ExbD,"Intracellular trafficking, secretion, and vesicular transport",exbBD,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10272
b0585,0.10623723310000001,fes,enterochelin esterase,Inorganic ion transport and metabolism,fes-ybdZ-entF-fepE,"RpoD,Fnr,H-NS,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10299
b4293,0.0964704831,fecI,RNA polymerase sigma factor FecI,Transcription,fecIR,"RpoD,SlyA,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10291
b0152,0.09603882870000001,fhuD,iron(III) hydroxamate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,fhuACDB,"RpoD,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10305
b0468,0.0931433958,ybaN,conserved inner membrane protein YbaN,Function unknown,ybaN,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12843
b1452,0.0930816693,yncE,PQQ-like domain-containing protein YncE,Function unknown,yncE,"MarA,ArcA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6763
b0592,0.0911503518,fepB,ferric enterobactin ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,fepB,"RpoD,RutR,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10294
b2673,0.0906191729,nrdH,glutaredoxin-like protein,"Post-translational modification, protein turnover,and chaperones",nrdHIEF,"RpoD,YedW,IscR,Fur,ppGpp,NrdR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7401
b3515,0.08982832040000001,gadW,DNA-binding transcriptional dual regulator GadW,Transcription,gadAXW,"PhoB,YcfQ,SdiA,RpoS,GadX,GadW,Fnr,YdeO,ppGpp,PhoP,RutR,H-NS,GadE,Lrp,GlaR,gadY",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12242
b4490_2,0.0877845815,efeU_2,,No COG Annotation,efeU_1U_2,,False,
b2146,-0.08934323570000001,preT,NAD-dependent dihydropyrimidine dehydrogenase subunit PreT,Energy production and conversion,preTA,"RpoD,Crp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7145
b1673,-0.0989933934,ydhV,putative oxidoreductase,Energy production and conversion,ydhYVWXUT,"YidZ,RpoS,NarL,NarP,Fnr",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6901
b1674,-0.12337733910000001,ydhY,putative 4Fe-4S ferredoxin-type protein,Energy production and conversion,ydhYVWXUT,"RpoS,NarL,NarP,Fnr",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6902
b1905,-0.127220243,ftnA,ferritin iron storage protein,Inorganic ion transport and metabolism,ftnA,"RpoD,H-NS,Fur",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10921
