locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,PprB,link
PA4298,0.16558993100000002,PA4298,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4298&e1=1&assembly=complete
PA4306,0.163544409,flp,,type IVb pilin Flp,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4306&e1=1&assembly=complete
PA4302,0.148689615,tadA,,ATPase TadA,"Intracellular trafficking, secretion, and vesicular transport",PprB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4302&e1=1&assembly=complete
PA1874,0.145929683,PA1874,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1874&e1=1&assembly=complete
PA4303,0.141797531,tadZ,,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",PprB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4303&e1=1&assembly=complete
PA4651,0.14165617700000002,PA4651,,pili assembly chaperone,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4651&e1=1&assembly=complete
PA4648,0.140191535,PA4648,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4648&e1=1&assembly=complete
PA4300,0.139945497,tadC,,type II secretion system protein TadC,Cell motility,PprB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4300&e1=1&assembly=complete
PA4299,0.13874518400000002,tadD,,type II secretion system protein TadD,"Intracellular trafficking, secretion, and vesicular transport",PprB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4299&e1=1&assembly=complete
PA4304,0.134901712,rcpA,,type II/III secretion system protein,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4304&e1=1&assembly=complete
PA4650,0.13391117700000002,PA4650,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4650&e1=1&assembly=complete
PA4305,0.131540881,rcpC,,hypothetical protein,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4305&e1=1&assembly=complete
PA1875,0.127145071,PA1875,,hypothetical protein,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1875&e1=1&assembly=complete
PA4649,0.12343517400000001,PA4649,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4649&e1=1&assembly=complete
PA1877,0.121890752,PA1877,,secretion protein,Cell wall/membrane/envelope biogenesis,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1877&e1=1&assembly=complete
PA4301,0.11384828,tadB,,type II secretion system protein TadB,"Intracellular trafficking, secretion, and vesicular transport",PprB,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4301&e1=1&assembly=complete
PA1914,0.11162685700000001,PA1914,,hypothetical protein,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1914&e1=1&assembly=complete
PA4297,0.10085635500000001,tadG,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4297&e1=1&assembly=complete
PA4652,0.09884137,PA4652,,hypothetical protein,Cell motility,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4652&e1=1&assembly=complete
PA4293,0.09631982,pprA,,two-component sensor PprA,Signal transduction mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4293&e1=1&assembly=complete
