locus,gene_weight,gene_name,gene_product,cog,regulator,CysB,YdfF,link
PA3446,0.2267555751,PA3446,NAD(P)H-dependent FMN reductase,Function unknown,CysB,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3446&e1=1&assembly=complete
PA0284,0.20466527380000002,PA0284,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0284&e1=1&assembly=complete
PA3450,0.2021984473,PA3450,antioxidant protein,"Post-translational modification, protein turnover,and chaperones",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3450&e1=1&assembly=complete
PA3931,0.1849965676,PA3931,hypothetical protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3931&e1=1&assembly=complete
PA0283,0.1826397998,sbp,sulfate-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0283&e1=1&assembly=complete
PA3938,0.17740249290000001,PA3938,taurine-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3938&e1=1&assembly=complete
PA4195,0.1699198726,PA4195,ABC transporter,Amino acid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4195&e1=1&assembly=complete
PA2312,0.1688115256,PA2312,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2312&e1=1&assembly=complete
PA2311,0.1590126728,PA2311,hypothetical protein,No COG annotation,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2311&e1=1&assembly=complete
PA3445,0.1548291485,PA3445,hypothetical protein,Inorganic ion transport and metabolism,CysB,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3445&e1=1&assembly=complete
PA0201,0.14975855400000002,PA0201,hypothetical protein,Function unknown,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0201&e1=1&assembly=complete
PA2359,0.14567929470000002,PA2359,transcriptional regulator,Transcription,Sfa3,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2359&e1=1&assembly=complete
PA0191,0.1358137895,PA0191,transcriptional regulator,Transcription,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0191&e1=1&assembly=complete
