locus,gene_weight,gene_name,gene_product,COG,operon,regulator,RpoH,link
b0014,0.28382668310000003,dnaK,chaperone protein DnaK,"Post-translational modification, protein turnover,and chaperones",dnaK-tpke11-dnaJ,"YbiH,RpoH,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10241
b0473,0.26205111540000003,htpG,chaperone protein HtpG,"Post-translational modification, protein turnover,and chaperones",htpG,"YeiE,RpoN,RpoH,gcvB,AscG,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10461
b4142,0.2612027119,groS,cochaperonin GroES,"Post-translational modification, protein turnover,and chaperones",groSL,"RpoD,RpoH,gcvB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10600
b4143,0.25523809670000003,groL,chaperonin GroEL,"Post-translational modification, protein turnover,and chaperones",groSL,"RpoD,RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10599
b0015,0.2283283006,dnaJ,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",dnaK-tpke11-dnaJ,"RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10240
b2592,0.22448991070000002,clpB,ClpB chaperone,"Post-translational modification, protein turnover,and chaperones",clpB,"RpoD,ryfD,RpoH,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10157
b3931,0.19123793020000002,hslU,ATPase component of the HslVU protease,"Post-translational modification, protein turnover,and chaperones",hslVU,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11881
b3687,0.1891992204,ibpA,small heat shock protein IbpA,"Post-translational modification, protein turnover,and chaperones",ibpAB,"RpoH,gcvB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11534
b1322,0.18368418920000001,ycjF,conserved inner membrane protein YcjF,Function unknown,ycjXF-tyrR,"RpoH,PgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12870
b3932,0.18325956710000002,hslV,peptidase component of the HslVU protease,"Post-translational modification, protein turnover,and chaperones",hslVU,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11676
b1321,0.1786122222,ycjX,DUF463 domain-containing protein YcjX,Function unknown,ycjXF-tyrR,"YbiH,RpoH,PgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6659
b4140,0.1720744066,fxsA,protein FxsA,Function unknown,fxsA,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7832
b2614,0.15883406900000002,grpE,nucleotide exchange factor GrpE,"Post-translational modification, protein turnover,and chaperones",grpE,"RpoH,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10416
b3686,0.1362015031,ibpB,small heat shock protein IbpB,"Post-translational modification, protein turnover,and chaperones",ibpAB,"RpoN,RpoH,IHF,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11535
b3400,0.12272333910000001,hslR,heat shock protein Hsp15,"Translation, ribosomal structure and biogenesis",yrfG-hslRO,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7743
b0492,0.1224185021,cnoX,chaperedoxin,"Post-translational modification, protein turnover,and chaperones",ybbN,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6268
b3401,0.1165323759,hslO,molecular chaperone Hsp33,"Post-translational modification, protein turnover,and chaperones",yrfG-hslRO,"YciT,RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7744
b3635,0.1162340597,mutM,DNA-formamidopyrimidine glycosylase,"Replication, recombination and repair",yicR-rpmBG-mutM,"RpoH,ppGpp,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10329
b0439,0.11129491550000001,lon,Lon protease,"Post-translational modification, protein turnover,and chaperones",clpPX-lon,"RpoD,RpoE,RpoH,gcvB,GadX",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10542
b0631,0.10528822510000001,ybeD,DUF493 domain-containing protein YbeD,Function unknown,ybeD-lipB,"RpoD,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11592
