locus,gene_weight,gene_name,gene_product,cog,regulator,CueR,link
PSPTO_0752,0.1905730307,copZ,heavy-metal-associated domain-containing protein,Energy production and conversion,CueR,True,
PSPTO_0750,0.1376846596,PSPTO_0750,copper-translocating P-type ATPase,Inorganic ion transport and metabolism,CueR,True,
PSPTO_0749,0.10390230310000001,cueR,Cu(I)-responsive transcriptional regulator,Transcription,CueR,True,
PSPTO_5408,0.0973069273,PSPTO_5408,hypothetical protein,Function unknown,AlgU,False,
PSPTO_0753,0.08483359380000001,PSPTO_0753,multidrug effflux MFS transporter,Amino acid transport and metabolism,PvdS,False,
PSPTO_5407,0.0766171914,PSPTO_5407,FdhF/YdeP family oxidoreductase,Energy production and conversion,,False,
PSPTO_5406,0.0610226394,fdhD,formate dehydrogenase accessory sulfurtransferase FdhD,Energy production and conversion,,False,
PSPTO_4460,0.057921786200000006,PSPTO_4460,tetratricopeptide repeat protein,Function unknown,,False,
PSPTO_3641,-0.0552786548,PSPTO_3641,RidA family protein,"Translation, ribosomal structure and biogenesis",,False,
PSPTO_0913,-0.056231682500000005,cheA-1,chemotaxis protein CheA,Signal transduction mechanisms,,False,
PSPTO_RS18825,-0.0570359186,PSPTO_RS18825,FAD-binding oxidoreductase,Amino acid transport and metabolism,,False,
PSPTO_0914,-0.0570585194,PSPTO_0914,STAS domain-containing protein,Signal transduction mechanisms,,False,
PSPTO_3661,-0.0574078336,xdhB,xanthine dehydrogenase molybdopterin binding subunit,Energy production and conversion,PSPTO_3698,False,
PSPTO_3332,-0.059313879400000005,PSPTO_3332,M10 family metallopeptidase,"Secondary metabolites biosynthesis, transport, and catabolism",,False,
PSPTO_RS06455,-0.0594526529,PSPTO_RS06455,SDR family oxidoreductase,Lipid transport and metabolism,,False,
PSPTO_0912,-0.059838017300000004,PSPTO_0912,methyl-accepting chemotaxis protein,Signal transduction mechanisms,,False,
PSPTO_3660,-0.0621257724,xdhA,xanthine dehydrogenase small subunit,Energy production and conversion,PSPTO_3698,False,
PSPTO_3663,-0.0638848404,guaD,guanine deaminase,Nucleotide transport and metabolism,PSPTO_3698,False,
PSPTO_3806,-0.0642333269,ilvA,threonine ammonia-lyase%2C biosynthetic,Amino acid transport and metabolism,,False,
PSPTO_2832,-0.0642432779,macB,MacB family efflux pump subunit,Defense mechanisms,,False,
PSPTO_0910,-0.0648753118,cheR-1,chemotaxis protein CheR,Coenzyme transport and metabolism,,False,
PSPTO_RS18945,-0.0651039962,PSPTO_RS18945,DUF1534 domain-containing protein,No COG annotation,,False,
PSPTO_2875,-0.06630470670000001,PSPTO_2875,ATP-binding cassette domain-containing protein,Defense mechanisms,,False,
PSPTO_2876,-0.0664056737,PSPTO_2876,FtsX-like permease family protein,Defense mechanisms,,False,
PSPTO_4160,-0.0681363955,bfr,bacterioferritin,Inorganic ion transport and metabolism,,False,
PSPTO_2831,-0.0702719545,macA,macrolide transporter subunit MacA,Cell wall/membrane/envelope biogenesis,,False,
PSPTO_4849,-0.0729411675,PSPTO_4849,Flp family type IVb pilin,Function unknown,,False,
PSPTO_2589,-0.07341954960000001,PSPTO_2589,hypothetical protein,No COG annotation,,False,
PSPTO_2871,-0.0745292194,PSPTO_2871,virulence factor SrfB,Function unknown,,False,
PSPTO_0202,-0.0747104781,PSPTO_0202,MFS transporter,Amino acid transport and metabolism,,False,
PSPTO_3640,-0.0750675354,PSPTO_3640,DSD1 family PLP-dependent enzyme,Amino acid transport and metabolism,,False,
PSPTO_2874,-0.0785025513,PSPTO_2874,VWA domain-containing protein,Function unknown,,False,
PSPTO_2879,-0.07882058530000001,PSPTO_2879,lipoprotein,Function unknown,,False,
PSPTO_2828,-0.0797981202,syrR,helix-turn-helix transcriptional regulator,Transcription,,False,
PSPTO_2877,-0.079884102,PSPTO_2877,SUMF1/EgtB/PvdO family nonheme iron enzyme,Function unknown,,False,
PSPTO_RS01075,-0.0805045563,PSPTO_RS01075,ParB N-terminal domain-containing protein,Transcription,,False,
PSPTO_2872,-0.08137989350000001,PSPTO_2872,putative virulence factor,Function unknown,,False,
PSPTO_RS18950,-0.0819047728,PSPTO_RS18950,DUF1534 domain-containing protein,No COG annotation,,False,
PSPTO_2873,-0.08479005070000001,PSPTO_2873,hypothetical protein,No COG annotation,,False,
PSPTO_2830,-0.0850076579,syfB,amino acid adenylation domain-containing protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,
PSPTO_2878,-0.0859252843,PSPTO_2878,lipoprotein,No COG annotation,,False,
PSPTO_0203,-0.1081576077,PSPTO_0203,cysteine synthase family protein,Amino acid transport and metabolism,,False,
PSPTO_2829,-0.1087846913,syfA,non-ribosomal peptide synthetase,"Secondary metabolites biosynthesis, transport, and catabolism",,False,
