locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,link
PA3046,0.18075945300000001,PA3046,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3046&e1=1&assembly=complete
PA2376,0.149410138,PA2376,,transcriptional regulator,Transcription,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2376&e1=1&assembly=complete
PA0563,0.136808446,PA0563,,hypothetical protein,Function unknown,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0563&e1=1&assembly=complete
PA0081,0.13445985200000002,fha1,,Fha domain-containing protein,Signal transduction mechanisms,TagR1,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0081&e1=1&assembly=complete
PA4280,0.129132506,birA,,biotin--protein ligase,Coenzyme transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4280&e1=1&assembly=complete
PA0199,0.11665565200000001,exbD1,,biopolymer transport protein ExbD,"Intracellular trafficking, secretion, and vesicular transport",,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0199&e1=1&assembly=complete
PA2146,0.11606592700000001,PA2146,,hypothetical protein,No COG annotation,RpoN,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2146&e1=1&assembly=complete
PA1177,0.11332004700000001,napE,,nitrate reductase protein NapE,Energy production and conversion,RpoS,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1177&e1=1&assembly=complete
PA0605,0.108347361,PA0605,,ABC transporter permease,Amino acid transport and metabolism,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0605&e1=1&assembly=complete
PA0169,0.10458336400000001,PA0169,,hypothetical protein,Signal transduction mechanisms,,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0169&e1=1&assembly=complete
