locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,BexR,link
PA2432,0.357264845,bexR,,bistable expression regulator BexR,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2432&e1=1&assembly=complete
PA1202,0.345506288,PA1202,,hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1202&e1=1&assembly=complete
PA1203,0.23208557700000002,PA1203,,hypothetical protein,"Post-translational modification, protein turnover,and chaperones",BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1203&e1=1&assembly=complete
PA2696,0.2264709,PA2696,,transcriptional regulator,Transcription,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2696&e1=1&assembly=complete
PA2430,0.21074951500000003,PA2430,,hypothetical protein,Defense mechanisms,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2430&e1=1&assembly=complete
PA2698,0.206873415,PA2698,,hydrolase,"Secondary metabolites biosynthesis, transport, and catabolism",BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2698&e1=1&assembly=complete
PA2697,0.19518257,PA2697,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2697&e1=1&assembly=complete
PA2431,0.179438906,PA2431,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2431&e1=1&assembly=complete
PA0572,0.171035016,PA0572,,hypothetical protein,Carbohydrate transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0572&e1=1&assembly=complete
PA1205,0.15274125600000002,PA1205,,quercetin 2%2C3-dioxygenase,Function unknown,BexR,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1205&e1=1&assembly=complete
