locus,gene_weight,gene_name,gene_product,cog,operon,regulator,Cbl,CysB,link
b0937,0.33753028900000004,ssuE,NADPH-dependent FMN reductase,Function unknown,ssuEADCB,"RpoD,YqhC,YdhB,YihW,gcvB,Fnr,Cbl,IHF,CysB,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6479
b0366,0.3153605976,tauB,taurine ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,tauABCD,"Cbl,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6218
b0365,0.3095203515,tauA,taurine ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,tauABCD,"YidZ,Cbl,CysB,Nac",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6217
b0936,0.30544957510000004,ssuA,aliphatic sulfonate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,ssuEADCB,"RpoD,YeiE,Fnr,ppGpp,Cbl,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6478
b0935,0.287039843,ssuD,FMNH2-dependent alkanesulfonate monooxygenase,Energy production and conversion,ssuEADCB,"RpoD,Fnr,Cbl,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6477
b0367,0.27369345970000003,tauC,taurine ABC transporter membrane subunit,Inorganic ion transport and metabolism,tauABCD,"Cbl,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6219
b0368,0.24349236000000002,tauD,taurine dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",tauABCD,"Cbl,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12423
b0934,0.22487008400000003,ssuC,aliphatic sulfonate ABC transporter membrane subunit,Inorganic ion transport and metabolism,ssuEADCB,"RpoD,Fnr,Cbl,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6476
b3917,0.16782778240000001,sbp,sulfate/thiosulfate ABC transporter periplasmic binding protein Sbp,Inorganic ion transport and metabolism,sbp,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10929
b0933,0.14598151180000002,ssuB,aliphatic sulfonate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,ssuEADCB,"RpoD,Fnr,Cbl,ppGpp,IHF,CysB",True,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12358
b1987,0.0691388839,cbl,DNA-binding transcriptional activator Cbl,Transcription,cbl,"RpoD,YdcR,NtrC,CysB,Lrp",False,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7071
b1657,0.0626745382,ydhP,putative transporter YdhP,Amino acid transport and metabolism,ydhP,,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6893
b2505,0.047629228100000004,yfgH,lipoprotein YfgH,Cell wall/membrane/envelope biogenesis,,Nac,False,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7316
