locus,gene_weight,gene_name,gene_product,cog,operon,regulator,RpoH,link
b0014,0.2560066341,dnaK,chaperone protein DnaK,"Post-translational modification, protein turnover,and chaperones",dnaK-tpke11-dnaJ,"YbiH,RpoH,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10241
b0473,0.2367192129,htpG,chaperone protein HtpG,"Post-translational modification, protein turnover,and chaperones",htpG,"YeiE,RpoN,RpoH,gcvB,AscG,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10461
b3686,0.2342570897,ibpB,small heat shock protein IbpB,"Post-translational modification, protein turnover,and chaperones",ibpAB,"RpoN,RpoH,IHF,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11535
b4143,0.22930301050000002,groL,chaperonin GroEL,"Post-translational modification, protein turnover,and chaperones",groSL,"RpoD,RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10599
b4142,0.22886274980000001,groS,cochaperonin GroES,"Post-translational modification, protein turnover,and chaperones",groSL,"RpoD,RpoH,gcvB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10600
b3687,0.2218455506,ibpA,small heat shock protein IbpA,"Post-translational modification, protein turnover,and chaperones",ibpAB,"RpoH,gcvB,Lrp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11534
b0015,0.21614715080000002,dnaJ,chaperone protein DnaJ,"Post-translational modification, protein turnover,and chaperones",dnaK-tpke11-dnaJ,"RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10240
b2592,0.2150249286,clpB,ClpB chaperone,"Post-translational modification, protein turnover,and chaperones",clpB,"RpoD,ryfD,RpoH,gcvB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10157
b1321,0.1831117957,ycjX,DUF463 domain-containing protein YcjX,Function unknown,ycjXF-tyrR,"YbiH,RpoH,PgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6659
b1322,0.173276845,ycjF,conserved inner membrane protein YcjF,Function unknown,ycjXF-tyrR,"RpoH,PgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12870
b4140,0.1688937483,fxsA,protein FxsA,Function unknown,fxsA,"RpoH,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7832
b3932,0.16629641180000002,hslV,peptidase component of the HslVU protease,"Post-translational modification, protein turnover,and chaperones",hslVU,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11676
b3931,0.1561041694,hslU,ATPase component of the HslVU protease,"Post-translational modification, protein turnover,and chaperones",hslVU,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11881
b2614,0.14426380660000002,grpE,nucleotide exchange factor GrpE,"Post-translational modification, protein turnover,and chaperones",grpE,"RpoH,Crp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10416
b3400,0.131605255,hslR,heat shock protein Hsp15,"Translation, ribosomal structure and biogenesis",yrfG-hslRO,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7743
b3635,0.12956859540000001,mutM,DNA-formamidopyrimidine glycosylase,"Replication, recombination and repair",yicR-rpmBG-mutM,"RpoH,ppGpp,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10329
b3401,0.1202961802,hslO,molecular chaperone Hsp33,"Post-translational modification, protein turnover,and chaperones",yrfG-hslRO,"YciT,RpoH,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7744
b0016,0.1132365082,insL-1,IS186/IS421 transposase,"Replication, recombination and repair",insL-1,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6083
b0492,0.1111742314,cnoX,chaperedoxin,"Post-translational modification, protein turnover,and chaperones",ybbN,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6268
b0631,0.0988426231,ybeD,DUF493 domain-containing protein YbeD,Function unknown,ybeD-lipB,"RpoD,RpoH",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11592
b0582,0.0951851965,insL-2,IS186/IS421 transposase,"Replication, recombination and repair",insL-2,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6327
b2394,0.0880215347,insL-3,putative IS186/IS421 transposase,"Replication, recombination and repair",insL-3,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7255
b3343,0.0861313922,tusB,sulfurtransferase complex subunit TusB,"Translation, ribosomal structure and biogenesis",yheO-tusDCB,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7712
b0439,0.0829397617,lon,Lon protease,"Post-translational modification, protein turnover,and chaperones",clpPX-lon,"RpoD,RpoE,RpoH,gcvB,GadX",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10542
b0660,0.0812549105,ybeZ,PhoH-like protein,Signal transduction mechanisms,ybeZYX-lnt,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6363
b3498,0.0789535728,prlC,oligopeptidase A,Amino acid transport and metabolism,prlC-rsmJ,RpoH,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11441
