locus,gene_weight,gene_name,gene_product,cog,regulator,CysB,YdfF,link
PA3443,0.2587101182,PA3443,ABC transporter permease,Inorganic ion transport and metabolism,CysB,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3443&e1=1&assembly=complete
PA3442,0.2571118881,PA3442,aliphatic sulfonates ABC transporter ATP-binding subunit,Inorganic ion transport and metabolism,CysB,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3442&e1=1&assembly=complete
PA3441,0.2555157705,PA3441,molybdopterin-binding protein,Coenzyme transport and metabolism,CysB,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3441&e1=1&assembly=complete
PA3444,0.2099373712,PA3444,alkanesulfonate monooxygenase,Energy production and conversion,CysB,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3444&e1=1&assembly=complete
PA3935,0.167533218,tauD,taurine dioxygenase,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3935&e1=1&assembly=complete
PA0280,0.1532626557,cysA,sulfate.thiosulfate ABC transporter ATP-binding protein CysA,Inorganic ion transport and metabolism,YdfF,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0280&e1=1&assembly=complete
PA3445,0.1167896142,PA3445,hypothetical protein,Inorganic ion transport and metabolism,CysB,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3445&e1=1&assembly=complete
PA3936,0.1087420508,PA3936,taurine ABC transporter permease,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3936&e1=1&assembly=complete
PA2085,0.10609519840000001,PA2085,ring-hydroxylating dioxygenase small subunit,"Secondary metabolites biosynthesis, transport, and catabolism",,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2085&e1=1&assembly=complete
PA3937,0.0992133077,PA3937,taurine ABC transporter ATP-binding protein,Inorganic ion transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA3937&e1=1&assembly=complete
