locus,gene_weight,gene_name,gene_product,cog,regulator,CovR,link
SP5448_03750,0.2437997378,SP5448_03750,membrane protein,Function unknown,"Mga,Rgg,Rgg,Phage_2",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.698%22)
SP5448_03755,0.24056991660000002,SP5448_03755,DNAse,Nucleotide transport and metabolism,"TrxR_M1,Mga,Rgg,Rgg,CovR,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.699%22)
SP5448_08565,0.1976625035,ska,kinase,Function unknown,"CovR,Rgg,Rgg,MtsR_M49,CodY_M49,FasX_0min_M1,FasX_15min_M1,CovR,CovR,CovR,Nra_exponetional_M49,Nra_transition_M49,Nra_stationary_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1654%22)
SP5448_08715,0.1904296004,prtP_2,peptidase C5,"Posttranslational modification, protein turnover, chaperones","Mga,Mga,Rgg,Rgg,CovR,Nra_exponetional_M49,Nra_transition_M49,Nra_stationary_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1684%22)
SP5448_08710,0.1884267583,SP5448_08710,cell surface protein,Function unknown,"Mga,Mga,Rgg,Rgg,CovR,CovR,Nra_transition_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1683%22)
SP5448_02470,0.1816454986,SP5448_02470,streptodornase,Nucleotide transport and metabolism,"CovR,Mga,CovR,Phage_1",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.453%22)
SP5448_00875,0.1439515099,SP5448_00875,NAD glycohydrolase inhibitor,Function unknown,"Mga,CovR,CovR,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.140%22)
SP5448_00870,0.1431310735,SP5448_00870,N-acetylglucosamine-1-phosphate uridyltransferase,Function unknown,"CovR,Mga,Rgg,Rgg,CodY_M49,CovR,CovR,CovR,Nra_exponetional_M49,Nra_transition_M49,Irr_LE_M6",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.139%22)
SP5448_08785,0.13793221290000002,SP5448_08785,hypothetical protein,Function unknown,"CovR,TrxR_M1,Mga,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1699%22)
SP5448_00880,0.1365552424,slo,alveolysin,Cell wall/membrane/envelope biogenesis,"CovR,TrxR_M1,Mga,Rgg,Rgg,CodY_M49,CovR,CovR,CovR,CovR,Nra_exponetional_M49,Nra_stationary_M49",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.141%22)
SP5448_02515,0.1308145651,SP5448_02515,esterase,Lipid transport and metabolism,Mga,False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.461%22)
SP5448_08725,0.11394849380000001,sic1.01,lysis inhibitor protein,Function unknown,"TrxR_M1,Mga,Mga,Nra_stationary_M49",False,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1686%22)
SP5448_08660,0.10958225910000001,gsiC,ABC transporter permease,Inorganic ion transport and metabolism,"AdcR,CovR,Mga,Rgg,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1673%22)
SP5448_08665,0.0918873732,dppC,peptide ABC transporter permease,Inorganic ion transport and metabolism,"AdcR,CovR,Rgg,CovR,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1674%22)
SP5448_08670,0.08973019730000001,oppD_2,ATPase,Function unknown,"AdcR,CovR,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1675%22)
SP5448_08675,0.0889447387,gsiA_7,nickel ABC transporter ATP-binding protein,Function unknown,"AdcR,CovR,CovR,Srv_M1",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1676%22)
SP5448_06735,0.0808122356,sagB,streptolysin associated protein SagB,Energy production and conversion,"CcpA,CcpA_core_M1,CovR,Rgg,Rgg,CodY_M49,CovR,CovR,CovR,CovR,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1294%22)
SP5448_06725,0.07904973650000001,sagD,streptolysin associated protein SagD,Function unknown,"CcpA,CcpA_core_M1,CovR,Mga,Rgg,Rgg,CovR,CovR,CovR,CovR,CovR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1292%22)
SP5448_08580,0.0767851017,SP5448_08580,hypothetical protein,Function unknown,"CovR,Rgg,Rgg,RivR_M1,CovR,Nra_exponetional_M49,Nra_transition_M49,Nra_stationary_M49,VicR",True,https://www.patricbrc.org/search/?keyword(%22fig%7C1314.194.peg.1657%22)
