locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SigB,link
USA300HOU_RS04330,0.14323149000000002,USA300HOU_RS04330,hypothetical protein,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002810000
USA300HOU_RS05375,0.124332489,USA300HOU_RS05375,hypothetical protein,No COG category,,WalR,False,
USA300HOU_RS11835,0.12152359500000001,USA300HOU_RS11835,hypothetical protein,Function unknown,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005579000
USA300HOU_RS00335,0.119992865,USA300HOU_RS00335,universal stress protein,Signal transduction mechanisms,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN000816000
USA300HOU_RS11955,0.119461301,USA300HOU_RS11955,toxin,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005623000
USA300HOU_RS11840,0.11944968800000001,USA300HOU_RS11840,hypothetical protein,No COG category,,SigB,True,https://aureowiki.med.uni-greifswald.de/SAUPAN005580000
USA300HOU_RS13310,0.119328049,ybbL,ABC transporter ATP-binding protein,Function unknown,"ybbM,ybbL",WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006010000
USA300HOU_RS03270,0.11439684300000001,USA300HOU_RS03270,lysophospholipase,Function unknown,,WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002483000
USA300HOU_RS13920,0.10821095600000001,crtO,hypothetical protein,Function unknown,"crtN,crtB,crtQ,crtP,crtO",WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006229000
USA300HOU_RS01975,0.107062236,USA300HOU_RS01975,peptidase,Function unknown,,WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001971000
USA300HOU_RS11830,0.10542726200000001,asp23,alkaline shock protein 23,Function unknown,asp23,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005578000
USA300HOU_RS14630,0.104608318,USA300HOU_RS14630,DNA-binding protein,No COG category,,WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006458000
USA300HOU_RS04350,0.10439157800000001,ohR,organic hydroperoxide reductase OsmC/OhrA,"Post-translational modification, protein turnover, and chaperones",ohR,WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002816000
USA300HOU_RS11575,0.102683534,USA300HOU_RS11575,oxidoreductase,No COG category,,WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005442000
USA300HOU_RS13400,0.10224322300000001,gdH,short-chain dehydrogenase,Function unknown,,CodY,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006035000
USA300HOU_RS01985,0.101438965,USA300HOU_RS01985,membrane protein,Function unknown,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001973000
USA300HOU_RS08650,0.10143442800000001,USA300HOU_RS08650,CsbD family protein,Function unknown,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN004227000
USA300HOU_RS11845,0.099481603,opud2,glycine/betaine ABC transporter permease,Inorganic ion transport and metabolism,opud2,WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005581000
USA300HOU_RS13910,0.099053761,crtQ,"4,4'-diaponeurosporenoate glycosyltransferase",Cell wall/membrane/envelope biogenesis,"crtN,crtB,crtQ,crtP,crtO",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006227000
USA300HOU_RS13305,0.098576829,ybbM,iron export ABC transporter permease subunit FetB,Function unknown,"ybbM,ybbL",WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006009000
USA300HOU_RS13775,0.097879539,cidB,holin-like protein CidB,Cell wall/membrane/envelope biogenesis,"poxB,cidB,cidA",,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006197000
USA300HOU_RS13915,0.09704362700000001,crtP,diapolycopene oxygenase,Energy production and conversion,"crtN,crtB,crtQ,crtP,crtO",WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006228000
USA300HOU_RS03920,0.095703774,USA300HOU_RS03920,lipid kinase,Signal transduction mechanisms,,"SigB,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002621000
USA300HOU_RS04505,0.09285847600000001,USA300HOU_RS04505,CsbD family protein,Function unknown,,"SigB,Genomic Island 3",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002892000
USA300HOU_RS14615,0.091442806,USA300HOU_RS14615,DNA damage-inducible protein DinB,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN006450000
