locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,LiuR,PrpR,link
PA2014,0.216070023,liuB,,methylcrotonyl-CoA carboxylase subunit beta,Lipid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2014&e1=1&assembly=complete
PA2015,0.215628017,liuA,,isovaleryl-CoA dehydrogenase,Lipid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2015&e1=1&assembly=complete
PA2013,0.21101037900000003,liuC,,gamma-carboxygeranoyl-CoA hydratase,Lipid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2013&e1=1&assembly=complete
PA2016,0.196813955,liuR,,liu genes regulator,Transcription,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2016&e1=1&assembly=complete
PA2012,0.18280621,liuD,,methylcrotonyl-CoA carboxylase subunit alpha,Lipid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2012&e1=1&assembly=complete
PA2557,0.17811552900000002,PA2557,,AMP-binding protein,Lipid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2557&e1=1&assembly=complete
PA2554,0.147758876,PA2554,,short-chain dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2554&e1=1&assembly=complete
PA2555,0.146039301,PA2555,,AMP-binding protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2555&e1=1&assembly=complete
PA2011,0.142523481,liuE,,3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase,Amino acid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2011&e1=1&assembly=complete
PA2553,0.13055371100000002,PA2553,,acyl-CoA thiolase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2553&e1=1&assembly=complete
PA2552,0.123387485,PA2552,,acyl-CoA dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2552&e1=1&assembly=complete
PA0796,0.10839287600000001,prpB,,2-methylisocitrate lyase,Carbohydrate transport and metabolism,PrpR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0796&e1=1&assembly=complete
PA2000,0.098568346,dhcB,,dehydrocarnitine CoA transferase subunit B,Lipid transport and metabolism,"DhcR,PhhR",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2000&e1=1&assembly=complete
PA0797,0.098030592,PA0797,,transcriptional regulator,Transcription,PrpR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0797&e1=1&assembly=complete
PA2247,0.09527299600000001,bkdA1,,2-oxoisovalerate dehydrogenase subunit alpha,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2247&e1=1&assembly=complete
PA0795,0.093385991,prpC,,methylcitrate synthase,Energy production and conversion,PrpR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0795&e1=1&assembly=complete
PA2248,0.09198014800000001,bkdA2,,2-oxoisovalerate dehydrogenase subunit beta,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2248&e1=1&assembly=complete
