locus,gene_weight,gene_name,gene_product,cog,regulator,ppGpp,link
b2533,0.1216403975134439,suhB,inositol-phosphate phosphatase,Carbohydrate transport and metabolism,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10983
b4557,0.1089093046751453,yidD,membrane protein insertion efficiency factor,Function unknown,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10470
b3704,0.09875596929495,rnpA,RNase P protein component,"Translation, ribosomal structure and biogenesis","rnpB,YidZ,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10862
b1126,0.0974176160954249,potA,spermidine preferential ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10749
b2014,0.0912120108171789,plaP,putrescine:H(+) symporter PlaP,Amino acid transport and metabolism,ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11896
b1660,0.0885626224689617,ydhC,putative transporter YdhC,Amino acid transport and metabolism,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12141
b3260,0.0876963318334782,dusB,tRNA-dihydrouridine synthase B,"Translation, ribosomal structure and biogenesis","RpoD,ppGpp,Crp,IHF,Fis,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11311
b2562,0.0865301078601863,yfhL,putative 4Fe-4S cluster-containing protein YfhL,Energy production and conversion,"ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7346
b0238,0.0848215285337155,gpt,xanthine-guanine phsophoribosyltransferase,Nucleotide transport and metabolism,"RpoD,ppGpp,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10414
b1269,0.0828782343204752,rluB,23S rRNA pseudouridine(2605) synthase,"Translation, ribosomal structure and biogenesis",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12433
b0405,0.0811969485360535,queA,tRNA preQ1(34) S-adenosylmethionine ribosyltransferase-isomerase,Nucleotide transport and metabolism,"ppGpp,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10812
b1125,0.080776296884695,potB,spermidine preferential ABC transporter membrane subunit PotB,Inorganic ion transport and metabolism,"YeiE,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10750
b3261,0.0804269729821378,fis,DNA-binding transcriptional dual regulator Fis,Transcription,"RpoD,Crp,ppGpp,IHF,Fis,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10317
b0835,0.0790184436038513,rimO,ribosomal protein S12 methylthiotransferase RimO,"Translation, ribosomal structure and biogenesis",ppGpp,True,https://ecocyc.org/gene?orgid=ECOLI&id=G6435
b1722,0.0767526205774356,ydiY,acid-inducible putative outer membrane protein YdiY,Cell wall/membrane/envelope biogenesis,"YdcN,ppGpp,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6928
b0023,0.0755134460689787,rpsT,30S ribosomal subunit protein S20,"Translation, ribosomal structure and biogenesis","ppGpp,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10919
b0797,0.0751718118446481,rhlE,ATP-dependent RNA helicase RhlE,Nucleotide transport and metabolism,"ppGpp,CecR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11235
