locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SoxS,link
b4062,0.257221178,soxS,DNA-binding transcriptional dual regulator SoxS,Transcription,soxS,"RpoD,Fur,Fnr,AcrR,SoxR,SoxS,Lrp,mgrR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10958
b3924,0.2134648905,fpr,flavodoxin/ferredoxin-NADP(+) reductase,Energy production and conversion,fpr,"RpoD,ppGpp,MarA,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10628
b1611,0.2064396564,fumC,fumarase C,Energy production and conversion,fumAC,"RpoD,RpoS,ArcA,Fur,Fnr,Crp,MarA,Rob,SoxR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10358
b1378,0.203533702,ydbK,putative pyruvate-flavodoxin oxidoreductase,Energy production and conversion,ydbK-ompN,"ryhB,RpoS,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6701
b1463,0.1847622937,nhoA,arylamine N-acetyltransferase,"Secondary metabolites biosynthesis, transport, and catabolism",nhoA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6770
b3908,0.1630287669,sodA,superoxide dismutase (Mn),Inorganic ion transport and metabolism,sodA,"RpoD,Rob,SoxR,fnrS,ArcA,Fnr,Crp,MarA,IHF,SoxS,Fur,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10953
b2160,0.1520164112,yeiI,putative sugar kinase YeiI,Carbohydrate transport and metabolism,yeiI,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG12028
b2159,0.1499689392,nfo,endonuclease IV,"Replication, recombination and repair",nfo,"RpoD,Rob,SoxS,MarA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10651
b1377,0.14438644850000001,ompN,outer membrane porin N,Cell wall/membrane/envelope biogenesis,ydbK-ompN,"RpoD,RpoS,SoxS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6700
b0871,0.1443520633,poxB,pyruvate oxidase,Energy production and conversion,hcp-hcr-poxB-ltaE-ybjT,"RpoD,SoxS,RpoS,MarA,Cra,NarP,ppGpp,NsrR,OxyR,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10754
b4536,0.1431848641,yobH,protein YobH,Function unknown,yobH,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10454
b0850,0.1429814667,ybjC,DUF1418 domain-containing protein YbjC,Function unknown,ybjC-nfsA-rimK-ybjN,"RpoD,Rob,MarA,OxyR,SoxS",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12842
b3909,0.14032670120000001,kdgT,2-dehydro-3-deoxy-D-gluconate:H(+) symporter,"Intracellular trafficking, secretion, and vesicular transport",kdgT,GlaR,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11869
