locus,gene_weight,gene_name,gene_product,cog,regulator,LiuR,PrpR,link
PA2015,0.2152616819,liuA,isovaleryl-CoA dehydrogenase,Lipid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2015&e1=1&assembly=complete
PA2014,0.21259000000000003,liuB,methylcrotonyl-CoA carboxylase subunit beta,Lipid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2014&e1=1&assembly=complete
PA2013,0.21091904290000002,liuC,gamma-carboxygeranoyl-CoA hydratase,Lipid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2013&e1=1&assembly=complete
PA2016,0.1965326093,liuR,liu genes regulator,Transcription,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2016&e1=1&assembly=complete
PA2012,0.1800068765,liuD,methylcrotonyl-CoA carboxylase subunit alpha,Lipid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2012&e1=1&assembly=complete
PA2557,0.17892427800000002,PA2557,AMP-binding protein,Lipid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2557&e1=1&assembly=complete
PA2554,0.14331263290000001,PA2554,short-chain dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2554&e1=1&assembly=complete
PA2011,0.1432118038,liuE,3-hydroxy-3-isohexenylglutaryl-CoA/hydroxy-methylglutaryl-CoA lyase,Amino acid transport and metabolism,LiuR,True,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2011&e1=1&assembly=complete
PA2555,0.140123579,PA2555,AMP-binding protein,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2555&e1=1&assembly=complete
PA2553,0.1266608041,PA2553,acyl-CoA thiolase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2553&e1=1&assembly=complete
PA2552,0.1193131562,PA2552,acyl-CoA dehydrogenase,Lipid transport and metabolism,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2552&e1=1&assembly=complete
PA2000,0.1155899356,dhcB,dehydrocarnitine CoA transferase subunit B,Lipid transport and metabolism,"DhcR,PhhR",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2000&e1=1&assembly=complete
PA1999,0.1072416543,dhcA,dehydrocarnitine CoA transferase subunit A,Lipid transport and metabolism,"DhcR,PhhR",False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1999&e1=1&assembly=complete
PA0796,0.0968271338,prpB,2-methylisocitrate lyase,Carbohydrate transport and metabolism,PrpR,False,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0796&e1=1&assembly=complete
PA2247,0.0920222926,bkdA1,2-oxoisovalerate dehydrogenase subunit alpha,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2247&e1=1&assembly=complete
PA2248,0.0912500638,bkdA2,2-oxoisovalerate dehydrogenase subunit beta,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2248&e1=1&assembly=complete
PA2250,0.08656740240000001,lpdV,branched-chain alpha-keto acid dehydrogenase complex dihydrolipoyl dehydrogenase,Energy production and conversion,,False,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2250&e1=1&assembly=complete
