locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,YdfF,link
PA0280,0.180727366,cysA,,sulfate.thiosulfate ABC transporter ATP-binding protein CysA,Inorganic ion transport and metabolism,YdfF,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0280&e1=1&assembly=complete
PA0281,0.172889852,cysW,,sulfate transporter CysW,Inorganic ion transport and metabolism,YdfF,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0281&e1=1&assembly=complete
PA1837,0.16859031500000002,PA1837,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1837&e1=1&assembly=complete
PA2204,0.15283659300000002,PA2204,,ABC transporter,Amino acid transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2204&e1=1&assembly=complete
PA4442,0.145673192,cysN,,bifunctional sulfate adenylyltransferase subunit 1/adenylylsulfate kinase,Coenzyme transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4442&e1=1&assembly=complete
PA1838,0.139249269,cysI,,sulfite reductase,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1838&e1=1&assembly=complete
PA0282,0.134761617,cysT,,sulfate transporter CysT,Inorganic ion transport and metabolism,YdfF,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0282&e1=1&assembly=complete
PA2203,0.12620851600000002,PA2203,,amino acid permease,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2203&e1=1&assembly=complete
PA0283,0.125459397,sbp,,sulfate-binding protein,Inorganic ion transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0283&e1=1&assembly=complete
PA4443,0.103959194,cysD,,sulfate adenylyltransferase subunit 2,Coenzyme transport and metabolism,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4443&e1=1&assembly=complete
PA2202,0.096001293,PA2202,,amino acid permease,"Intracellular trafficking, secretion, and vesicular transport",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2202&e1=1&assembly=complete
PA5024,0.09206671100000001,PA5024,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5024&e1=1&assembly=complete
PA2482,-0.098621002,PA2482,,cytochrome C,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2482&e1=1&assembly=complete
PA2310,-0.10192173600000001,PA2310,,hypothetical protein,"Secondary metabolites biosynthesis, transport, and catabolism",,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2310&e1=1&assembly=complete
PA2481,-0.121879966,PA2481,,hypothetical protein,Energy production and conversion,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA2481&e1=1&assembly=complete
