locus,gene_weight,gene_name,gene_product,cog,regulator,DksA,link
b3316,0.1438967053123059,rpsS,30S ribosomal subunit protein S19,"Translation, ribosomal structure and biogenesis","RpoD,Fnr,ArcA,ppGpp,RplD,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10918
b3315,0.1433875548790951,rplV,50S ribosomal subunit protein L22,"Translation, ribosomal structure and biogenesis","RpoD,Fnr,ArcA,RplD,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10882
b3314,0.1379020300654422,rpsC,30S ribosomal subunit protein S3,"Translation, ribosomal structure and biogenesis","RpoD,Fnr,ArcA,RplD,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10902
b3318,0.134185942070169,rplW,50S ribosomal subunit protein L23,"Translation, ribosomal structure and biogenesis","RpoD,Fnr,ArcA,ppGpp,RplD,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10883
b3317,0.1301499457602026,rplB,50S ribosomal subunit protein L2,"Translation, ribosomal structure and biogenesis","RpoD,Fnr,ArcA,ppGpp,RplD,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10865
b3313,0.1296086638610178,rplP,50S ribosomal subunit protein L16,"Translation, ribosomal structure and biogenesis","RpoD,Fnr,ArcA,RplD,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10877
b3312,0.1266508309122903,rpmC,50S ribosomal subunit protein L29,"Translation, ribosomal structure and biogenesis","RpoD,Fnr,ArcA,RplD,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10887
b3319,0.123977754340745,rplD,50S ribosomal subunit protein L4,"Translation, ribosomal structure and biogenesis","RpoD,Fnr,ArcA,ppGpp,RplD,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10867
b3311,0.1200927217241069,rpsQ,30S ribosomal subunit protein S17,"Translation, ribosomal structure and biogenesis","RpoD,Fnr,ArcA,RplD,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10916
b3320,0.1141191926104459,rplC,50S ribosomal subunit protein L3,"Translation, ribosomal structure and biogenesis","RpoD,YqhC,YihW,YebK,YhjC,YedW,Fnr,ArcA,ppGpp,RplD,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10866
b3303,0.1046913218693454,rpsE,30S ribosomal subunit protein S5,"Translation, ribosomal structure and biogenesis","ppGpp,RpsH,DksA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10904
