locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FleQ,link
PP_1083,0.169197696693597,PP_1083,(2Fe-2S)-binding protein,Inorganic ion transport and metabolism,Op677,"TurB,FleQ,Fur",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1083&e1=1&assembly=complete
PP_4070,0.1670860448449492,PP_4070,conserved protein of unknown function,Function unknown,Op2655,"FleQ,CbrB",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_4070&e1=1&assembly=complete
PP_0352,0.1608290858020087,PP_0352,RNA polymerase sigma-70 factor%2C ECF subfamily,Transcription,Op241,"FleQ,Fur",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0352&e1=1&assembly=complete
PP_5306,0.1521294176753377,exbB,Biopolymer transport protein ExbB,"Intracellular trafficking, secretion, and vesicular transport",Op3474,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5306&e1=1&assembly=complete
PP_5307,0.1457023853998558,exbD,TonB-gated outer membrane transporter - gating inner membrane protein,"Intracellular trafficking, secretion, and vesicular transport",Op3474,"TurA,FleQ",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5307&e1=1&assembly=complete
PP_5308,0.144296402524286,tonB,Protein TonB,Cell wall/membrane/envelope biogenesis,Op3474,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5308&e1=1&assembly=complete
PP_5699,0.1335749420819665,PP_5699,putative iron uptake protein,Function unknown,Op2999,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_5699&e1=1&assembly=complete
PP_1651,0.1323083603034878,PP_1651,two-component response regulator,Transcription,Op1034,"FleQ,Fur",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_1651&e1=1&assembly=complete
PP_0703,0.1284560198626236,PP_0703,putative Transmembrane sensor,Inorganic ion transport and metabolism,Op463,FleQ,True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0703&e1=1&assembly=complete
PP_0351,0.1275987889680858,PP_0351,putative Transmembrane sensor protein,Inorganic ion transport and metabolism,Op241,"FleQ,Fur",True,https://pseudomonas.com/primarySequenceFeature/list?strain_ids=110&term=Pseudomonas+putida+KT2440+%28TIGR%29&c1=name&v1=PP_0351&e1=1&assembly=complete
