locus,gene_weight,gene_name,gene_product,cog,operon,regulator,NarL,link
b2207,0.29672207910000004,napD,NapA signal peptide-binding chaperone NapD,Inorganic ion transport and metabolism,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12143
b1223,0.2956348304,narK,nitrate:nitrite antiporter NarK,Inorganic ion transport and metabolism,narK,"RpoD,Fis,IHF,NarL,Fnr,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10642
b1224,0.2572887452,narG,nitrate reductase A subunit alpha,Energy production and conversion,narGHJI,"RpoD,YcjW,RstA,Fis,IHF,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10638
b2208,0.2561028366,napF,ferredoxin-type protein,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12068
b1797,0.17823096430000002,yeaR,DUF1971 domain-containing protein YeaR,Inorganic ion transport and metabolism,yeaR-yoaG,"RpoD,NarP,NsrR,NarL,Fis",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6983
b3365,0.17618164800000002,nirB,nitrite reductase catalytic subunit NirB,Energy production and conversion,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr,ryhB",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10653
b3366,0.1280864746,nirD,nitrite reductase subunit NirD,Inorganic ion transport and metabolism,nirBDC-cysG,"RpoD,Cra,Crp,IHF,NarL,NarP,Fis,H-NS,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10655
b2206,0.1259837472,napA,periplasmic nitrate reductase subunit NapA,Energy production and conversion,napFDAGHBC-ccmABCDEFGH,"RpoD,FlhDC,ModE,IscR,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12067
b1474,0.10813202370000001,fdnG,formate dehydrogenase N subunit alpha,Energy production and conversion,fdnGHI,"RpoD,NarP,NarL,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11227
b1751,0.0962415195,ydjY,4Fe-4S ferredoxin-type domain-containing protein YdjY,No COG annotation,ydjXYZ-ynjABCD,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6946
