locus,gene_weight,gene_name,gene_product,cog,regulator,EvgA,link
b2375,0.3299261770823969,yfdX,protein YfdX,Function unknown,"RpoD,ppGpp,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7238
b2374,0.3101858324147242,frc,formyl-CoA transferase,Energy production and conversion,"RpoD,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7237
b2085,0.2764786468653624,yegR,uncharacterized protein YegR,No COG annotation,"RpoD,ppGpp,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7122
b2373,0.2751333255829623,oxc,oxalyl-CoA decarboxylase,Amino acid transport and metabolism,"RpoD,YdcR,EvgA,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7236
b2372,0.2732700161814443,yfdV,putative transport protein YfdV,"Intracellular trafficking, secretion, and vesicular transport","RpoD,YeiE,EvgA,Nac,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7235
b1499,0.2624969161945996,ydeO,DNA-binding transcriptional dual regulator YdeO,Transcription,"RpoD,RcsB,YdhB,RpoH,YdeO,PhoP,EvgA,H-NS,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6789
b2083,0.2445646855825512,yegZ,phage protein D,Function unknown,"RpoD,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7120
b2376,0.2223957064817164,ypdI,colanic acid synthesis putative lipoprotein YpdI,No COG annotation,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7239
b1500,0.2128817931749781,safA,two-component system connector SafA,No COG annotation,"RpoD,RcsB,YdeO,PhoP,EvgA,GlaR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6790
b1501,0.1859865732826044,ydeP,putative oxidoreductase YdeP,Energy production and conversion,"RpoD,PhoP,NagC,UvrY,NarL,NarP,RcsB,EvgA,H-NS,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6791
b2371,0.1793809265362742,yfdE,acetyl-CoA:oxalate CoA-transferase,Energy production and conversion,"RpoD,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7234
b2368,0.1678087414564639,emrK,tripartite efflux pump membrane fusion protein EmrK,Defense mechanisms,"YciT,Fnr,EvgA,Nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7233
b2082,0.1360931172872566,ogrK,prophage P2 late control protein OgrK,Transcription,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7119
b1597,0.1298716746583247,asr,acid shock protein,No COG annotation,"RpoD,PhoB,RpoS,H-NS,RcdA,RstA",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6855
b2367,0.1227700162681671,emrY,tripartite efflux pump membrane subunit EmrY,Amino acid transport and metabolism,"gcvB,Fnr,EvgA",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG13283
