locus,gene_weight,gene_name,gene_product,COG,operon,regulator,FliA,link
b1922,0.20646693940000002,fliA,RNA polymerase%2C sigma 28 (sigma F) factor,Transcription,fliAZ-tcyJ,"RpoD,YdcN,FliA,H-NS,IHF,NsrR,EcpR,FlhDC,SutR,CsgD,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11355
b1921,0.16795604290000002,fliZ,DNA-binding transcriptional regulator FliZ,Transcription,fliAZ-tcyJ,"RpoD,YidZ,H-NS,FliA,IHF,NsrR,EcpR,SutR,CsgD,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11356
b1071,0.1462748243,flgM,anti-sigma factor for FliA (sigma(28)),Cell motility,flgAMN,"RpoD,FliA,FlhDC,CsgD,omrA,omrB",True,https://ecocyc.org/gene?orgid=ECOLI&id=G369
b1070,0.1289416213,flgN,flagellar biosynthesis protein FlgN,Cell motility,flgAMN,"RpoD,FliA,FlhDC,CsgD",True,https://ecocyc.org/gene?orgid=ECOLI&id=G6562
b4110,0.1258014755,yjcZ,uncharacterized protein YjcZ,Function unknown,crfC-yjcZ,"FliA,FliA",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7823
b1082,0.1136551695,flgK,flagellar hook-filament junction protein 1,Cell motility,flgKL,"FliA,FlhDC",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11967
b1890,0.09036762870000001,motA,motility protein A,Cell motility,motAB-cheAW,"FliA,CpxR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10601
b0763,0.0857242916,modA,molybdate ABC transporter periplasmic binding protein,Inorganic ion transport and metabolism,modABC,"RpoD,FliA,Crp,ModE,Lrp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12427
b1884,-0.1331296102,cheR,chemotaxis protein methyltransferase,"Translation, ribosomal structure and biogenesis",tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10148
b1881,-0.1366767881,cheZ,chemotaxis protein CheZ,"Translation, ribosomal structure and biogenesis",tar-tap-cheRBYZ,"FliA,Fnr,ppGpp",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10151
b1883,-0.1549325299,cheB,protein-glutamate methylesterase/protein glutamine deamidase,Cell motility,tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10147
b1783,-0.1629957447,yeaG,protein kinase YeaG,Signal transduction mechanisms,yeaGH,"NtrC,RpoN,Lrp,ppGpp",False,https://ecocyc.org/gene?orgid=ECOLI&id=G6969
b1882,-0.1836532488,cheY,chemotaxis protein CheY,Transcription,tar-tap-cheRBYZ,"FliA,Fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10150
