locus,gene_weight,gene_name,gene_product,COG,operon,regulator,BasR,link
b2252,0.3917781259,ais,putative lipopolysaccharide core heptose(II)-phosphate phosphatase,Cell wall/membrane/envelope biogenesis,ais,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7165
b2253,0.3147857578,arnB,UDP-4-amino-4-deoxy-L-arabinose aminotransferase,Cell wall/membrane/envelope biogenesis,arnBCADTEF,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7166
b2254,0.3031361692,arnC,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,Lipid transport and metabolism,arnBCADTEF,"YbiH,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7167
b2255,0.2613402403,arnA,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,Lipid transport and metabolism,arnBCADTEF,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7168
b4114,0.259200733,eptA,phosphoethanolamine transferase EptA,Function unknown,eptA,"Nac,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11613
b2256,0.2432448946,arnD,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,Carbohydrate transport and metabolism,arnBCADTEF,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7169
b3615,0.1832007592,waaH,UDP-glucuronate:LPS(HepIII) glycosyltransferase,Function unknown,waaH,"RpoD,PhoB,NsrR,ppGpp,BasR",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11266
b2257,0.1602633148,arnT,lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase,Lipid transport and metabolism,arnBCADTEF,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7170
b4113,0.1421819493,basR,DNA-binding transcriptional dual regulator BasR,Transcription,basRS,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11615
b4112,0.1326199243,basS,sensory histidine kinase BasS,Signal transduction mechanisms,basRS,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11614
b4544,0.1190686908,arnE,undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit,Inorganic ion transport and metabolism,arnBCADTEF,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G0-10460
b1974,0.1125434067,yodB,putative cytochrome,Energy production and conversion,yodB,"YeiE,ppGpp,GlaR",False,https://ecocyc.org/gene?orgid=ECOLI&id=G7062
b1800,0.10695969770000001,dmlA,D-malate/3-isopropylmalate dehydrogenase (decarboxylating),Energy production and conversion,dmlA,ppGpp,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6986
b2028,0.0973165867,ugd,UDP-glucose 6-dehydrogenase,Cell wall/membrane/envelope biogenesis,ugd,Nac,False,https://ecocyc.org/gene?orgid=ECOLI&id=G7091
b2258,0.0911790098,arnF,undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnF subunit,Inorganic ion transport and metabolism,,BasR,True,https://ecocyc.org/gene?orgid=ECOLI&id=G7171
b3955,0.0626974743,eptC,phosphoethanolamine transferase EptC,Function unknown,eptC,,False,https://ecocyc.org/gene?orgid=ECOLI&id=EG11914
b2215,-0.07601750110000001,ompC,outer membrane porin C,Cell wall/membrane/envelope biogenesis,ompC,"RpoD,rybB,rseX,micC,ipeX,YjjQ,EnvY,OmpR,CpxR,Lrp,IHF",False,https://ecocyc.org/gene?orgid=ECOLI&id=EG10670
b3207,-0.18913070170000001,yrbL,protein kinase-like domain-containing protein YrbL,Transcription,yrbL,"YcjW,SoxR,SoxS,BasR,PhoP",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7667
