locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,TagR1,link
PA0083,0.161852445,PA0083,,hypothetical protein,Function unknown,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0083&e1=1&assembly=complete
PA0084,0.15397423400000002,PA0084,,hypothetical protein,Function unknown,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0084&e1=1&assembly=complete
PA0085,0.152692974,hcp1,,protein secretion apparatus assembly protein,Function unknown,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0085&e1=1&assembly=complete
PA0087,0.150480674,PA0087,,hypothetical protein,Function unknown,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0087&e1=1&assembly=complete
PA0088,0.146902249,PA0088,,hypothetical protein,Function unknown,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0088&e1=1&assembly=complete
PA0089,0.14528532800000002,PA0089,,hypothetical protein,Function unknown,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0089&e1=1&assembly=complete
PA0090,0.135040356,clpV1,,secretion protein ClpV1,"Post-translational modification, protein turnover,and chaperones",TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0090&e1=1&assembly=complete
PA0086,0.133992531,PA0086,,hypothetical protein,Function unknown,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0086&e1=1&assembly=complete
PA0091,0.12764704600000001,vgrG1,,type VI secretion system protein VgrG,Function unknown,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0091&e1=1&assembly=complete
PA0078,0.123460365,PA0078,,hypothetical protein,Cell motility,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0078&e1=1&assembly=complete
PA0077,0.122822122,icmF1,,type VI secretion protein IcmF,Function unknown,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0077&e1=1&assembly=complete
PA1845,0.116382494,PA1845,,hypothetical protein,No COG annotation,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1845&e1=1&assembly=complete
PA0079,0.11545951300000001,PA0079,,hypothetical protein,Function unknown,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0079&e1=1&assembly=complete
PA0080,0.11279430800000001,PA0080,,hypothetical protein,Function unknown,TagR1,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA0080&e1=1&assembly=complete
