locus,gene_weight,gene_name,gene_product,cog,regulator,NanR,link
SP5448_08855,0.1991642971,celC,PTS cellobiose transporter subunit IIA,Carbohydrate transport and metabolism,"CcpA,CcpA_core_M1,CovR,Rgg",False,
SP5448_01230,0.1724165138,SP5448_01230,membrane protein,Function unknown,"NanR,CcpA,CcpA_core_M1,CovR,Rgg,Rgg,FasX_60min_M1,CovR,CovR,CovR",True,
SP5448_01210,0.1708048935,nanE,N-acetylmannosamine-6-phosphate 2-epimerase,Carbohydrate transport and metabolism,"NanR,CcpA,CcpA_core_M1,CovR,Mga,Rgg,Rgg,CovR,CovR,Irr_LE_M6",True,
SP5448_01215,0.1651413756,SP5448_01215,sugar ABC transporter substrate-binding protein,Carbohydrate transport and metabolism,"NanR,CcpA,CcpA_core_M1,CovR,Mga,Rgg,Rgg,CovR,CovR",True,
SP5448_01220,0.1612866419,SP5448_01220,acetylneuraminate ABC transporter permease,Inorganic ion transport and metabolism,"NanR,CcpA,CcpA_core_M1,CovR,Rgg,LacD.1_M14,CovR,CovR,Irr_EE_M6",True,
SP5448_01225,0.1594220154,SP5448_01225,sugar ABC transporter permease,Inorganic ion transport and metabolism,"NanR,CcpA,CcpA_core_M1,CovR,Rgg,Rgg,CovR,CovR,CovR",True,
SP5448_01240,0.1515761702,glk,hypothetical protein,Function unknown,"NanR,CcpA,CcpA_core_M1,CovR,Rgg,Rgg,LacD.1_M14,CovR,CovR",True,
SP5448_01235,0.1507459939,nanH,N-acetylneuraminate lyase,Function unknown,"NanR,CcpA,CcpA_core_M1,CovR,Rgg,CovR,CovR,CovR",True,
SP5448_08850,0.1441782039,celA,cytochrome C biogenesis protein CcmE,Carbohydrate transport and metabolism,"CcpA,CcpA_core_M1,CovR,CovR,Irr_EE_M6",False,
SP5448_08845,0.1289608287,celB,PTS cellobiose transporter subunit IIC,Carbohydrate transport and metabolism,"CcpA,CcpA_core_M1,CovR",False,
SP5448_07800,0.1088299662,prtP,peptidase S8,"Posttranslational modification, protein turnover, chaperones","CovR,Mga,Rgg,RivR_M1,CovR,CovR,CovR,CovR,Nra_exponetional_M49",False,
SP5448_05105,0.08926681060000001,citM,citrate transporter,Energy production and conversion,"CcpA,CcpA_core_M1,CovR,CovR,CovR,Nra_transition_M49",False,
SP5448_07170,0.0876078929,licT,transcription antiterminator BglG,Transcription,"CcpA,CcpA_core_M1,CovR",False,
SP5448_06720,0.07758993010000001,sagE,streptolysin associated protein SagE,Function unknown,"CcpA,CcpA_core_M1,CovR,Rgg,Rgg,CovR,CovR,CovR,CovR,CovR,CovR,Nra_exponetional_M49",False,
SP5448_06730,0.0745320091,sagC,streptolysin associated protein SagC,Function unknown,"CcpA,CcpA_core_M1,CovR,Mga,Rgg,Rgg,CovR,CovR,CovR,CovR,CovR,Irr_LE_M6",False,
SP5448_02475,-0.0798160302,SP5448_02475,hypothetical protein,Function unknown,"FasX_60min_M1,FasX_60min_M1,Phage_1",False,
SP5448_05315,-0.09675140950000001,guaC,guanosine 5'-monophosphate oxidoreductase,Nucleotide transport and metabolism,"PurR,CovR,Rgg,Rgg,Nra_transition_M49",False,
SP5448_08790,-0.1019617904,prsA,foldase,Cell wall/membrane/envelope biogenesis,"Rgg,Rgg,CovR,CovR,Nra_transition_M49",False,
SP5448_07415,-0.1278732976,ccpA,catabolite control protein A,Transcription,CcpA,False,
SP5448_01675,-0.19909588250000002,yhhS,multidrug MFS transporter,Function unknown,"CcpA_core_M1,Rgg,Rgg,RivR_M1,MalR_M1,Nra_transition_M49,Srv_M1",False,
