locus,gene_weight,gene_name,gene_product,COG,operon,regulator,cdaR,link
b3127,0.342393091043,garP,galactarate / glucarate / glycerate transporter GarP,Carbohydrate transport and metabolism,garPLRK-rnpB,"cdaR,crp,fnr,fur,h-NS,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12760
b3126,0.333330981609,garL,&alpha,Carbohydrate transport and metabolism,garPLRK-rnpB,"cdaR,crp,fnr,fur,h-NS,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG10016
b2789,0.324667172001,gudP,galactarate / glucarate / glycerate transporter GudP,Carbohydrate transport and metabolism,gudPXD,"cdaR,nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7447
b3125,0.30518933228399997,garR,tartronate semialdehyde reductase,Lipid transport and metabolism,garPLRK-rnpB,"cdaR,crp,fnr,fur,h-NS,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11176
b2787,0.257501437949,gudD,<i>D</i>-glucarate dehydratase,Cell wall/membrane/envelope biogenesis,gudPXD,"cdaR,nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7445
b2788,0.256147916681,gudX,glucarate dehydratase-related protein,Cell wall/membrane/envelope biogenesis,gudPXD,"cdaR,nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=G7446
b3124,0.246489817045,garK,glycerate kinase I,Carbohydrate transport and metabolism,garPLRK-rnpB,"cdaR,crp,fnr,fur,h-NS,rpoD",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG11175
b3128,0.219957947177,garD,galactarate dehydratase,Carbohydrate transport and metabolism,garD,"cdaR,fnr",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12522
b0162,0.13539329945,cdaR,CdaR DNA-binding transcriptional activator,Transcription,cdaR,"cdaR,nac",True,https://ecocyc.org/gene?orgid=ECOLI&id=EG12335
b1800,0.0991495097006,dmlA,D-malate / 3-isopropylmalate dehydrogenase (decarboxylating),Amino acid transport and metabolism,dmlA,,False,https://ecocyc.org/gene?orgid=ECOLI&id=G6986
